processed,Code
sindrome de marfan,75982
covid parto,O2662
miopia parto,H5210
fecaloma,K5641
lap,5421
cosanguinidad,Z843
tc craneal,8703
pitiriasis liquenoide,L410
adenopatias axilares,R590
eco tv: utero,BU4CZZZ
10 semanas,Z3A10
nefropatia diabetes mellitus,25040
insuficiencia renal cronica agudizada,N189
k40.20,K4020
prurito,L299
inmunosupresores,3E033GC
neoplasia,80003
tumor vesical,C679
amenorrea : 40 +,Z3A40
irritabilidad,R454
absceso vulvar,N764
disminucion de movimientos fetales,O368130
i83.812,I83812
cordon umbilical corto,O693XX1
fibroadenoma mama izqueirda,D242
diabetes mellitus 1 parto,E109
oxitocina,3E033VJ
ultraso diagnostic d'aparell urinari,BT4JZZZ
ecografia renovesical,BT4JZZZ
ltb,V252
port-a-cath,0JH60XZ
absceso tuboovarico derecho,N7093
mielopatia cervical,M4712
ileo paralitico postquirurgico,K9189
digoxina,3E033RZ
bronquitis aguda enfermedad pulmonar obstructiva cronica,49122
crisis asmatica grave,J45901
desgarro perineal grado i,O700
anemia parto,64821
paracetamol,3E033NZ
sindrome antifosfolipido,D6861
nodulo tiroideo,E041
hipertiroidismo parto,O99284
estafilorrafia,2762
biopsias vesicales multiples,0TBB8ZX
color: tenido,O770
foliculitis,7048
historia de ablacion cardiaca,Z8679
sindrome ansioso depresivo,F418
stp,9918
inmunoglobulina anti D,O26893
desgarro grado 1,0HQ9XZZ
hiperplasia suprarrenal congenita,E250
miopatia mitocondrial,G713
ile por trisomia,Z332
grupo 0+,Z6740
hiperemesis gravidica,O210
deficit factor vii parto,O9912
deficit b12,E538
grupo y rh: a positivo,Z6710
hipertrofia amigdala,47411
diabetes,E119
acne juvenil,L708
angiotc toracico,B32SZZZ
ne,3E0G76Z
carcinoma seroso de ovario,C569
gammapatia monoclonal,97651
esterilizacion tubarica,Z9851
neoplasia de mama izquierda,1749
sueroterapia endovenosa,9918
hamartoma hipotalamico,Q858
estenosis de meato uretral,N359
sindrome lynch,Z1509
hosp,E8497
tc abdomino-pelvico,BW21ZZZ
hipercalemia,E875
conjuntivitis alergica,H1045
alergica aas,Z886
sordera bilateral,H9193
orquidopexia bilateral,0VSC0ZZ
rosacea,L719
stent,V4582
queloides,L910
gastritis cronica part,K2950
sangrado menstrual,N938
sars-cov2: negativa,Z20822
gran extraccion,10D07Z8
sindrome de marfan,Q8740
rubeola no inmune,O9852
misoprostol,3E0P7VZ
hematuria macroscopica,R310
gs b (+),Z6720
sutura parpado,0881
psicosis inespecificada,F29
metrorragia 1t,O209
hernia incisional,K432
hiponatremia,E871
siringomielia,3360
angiotc abdominal,8801
prodomos parto,O624
astrocitoma anaplasico temporal,C712
41 semanas,Z3A41
anexectomia,Z90722
mf,4A1HXCZ
obesida 2t,O99212
faco + lio oi,08RK3JZ
litiasis biliar,K8020
alergia a salicilatos,Z886
rinofaringitis aguda,J00
migranas parto,O99354
ansiedad part,O99344
anomalia de ebstein,Q225
nefrectomia parcial,554
anemia sang,2851
rinosinusitis cronica,4739
cistoprostatectomia radical laparoscopica,0VT04ZZ
fibrilacion auricular permanente,I4821
veb,B2790
aines,E9358
: bcba,O30043
brdhh,I4510
38,Z3A38
convulsion febril,R5600
cornetes,J343
deficit vit d parto,O99284
hernia inguinal,K4090
placenta retenida,O730
prolapso uteri,6181
grupo sanguineo: o rh positivo,Z6740
cefalea postpuncion dural,3490
t75.1xxa,T751XXA
recien nacido,Z370
fractura tobillo izquierdo,S82892A
monocorial - biamniotica,V9102
suboclusio intestinal,56089
bronquiolitis aguda vrs recien nacido,J210
pge2,O365930
diureticos,T501X5A
herida encia,87362
frenillo sublingual,Q381
desgarro vagina,0UQGXZZ
biopsias de peritoneo,5423
carcinoma anal,C210
diplopia binocular,H532
sindrome constitucional,R634
reimplante ureteral,5674
neoplasia cie mama,1745
meniscectomia dreta,0SBC4ZZ
vacuna triple virica,3E0234Z
historia prematuritat,V137
gsrh: o +,Z6740
fumadora parto,Z370
ooforectomia derecha,Z90721
radiografia de craneo,BN00ZZZ
hipertensio pulmonar,I2720
bav 1º.,I440
virus hepatitis C anteparto,64763
neoplasia inespecifca,1991
portadora de gastrostomia,V441
neoplasia de mama derecha,C50911
migrana con aura part,O99354
alergica a aas,Z886
estat de traqueostomia,Z930
hemodialisis,Z992
exeresis ganglio inguinal dcho,07BH0ZZ
ulcera gastrica,K259
forceps,10D07Z3
fractura diente,87363
sonda vesical,0T9B7ZZ
amenaza de parto prematuro,64403
barrera idiomatica,Z603
esterilitat,N979
maduracion pulmonar,3E0233Z
palpitaciones,R002
esclerosis valvular mitroaortica,I080
nefroureterectomia,Z905
miocardiopatia dilatada,4254
linfangioma,D181
v420,Z940
psoriasis part,L409
desgarro vagina posparto,O714
eccema en manos,L309
dolor dorsal,M546
trombocitosis reactiva,D75838
dga2,O24424
pti part,D693
hiperparatiroidismo parto,E213
exfumador,V1582
polipo endometrial,N840
aborto,63490
necrosis avascular de cadera izquierda,M87052
anorexia nerviosa,F5000
"grupo sanguineo: b, rh: negativo",Z6721
ectasia pieloureteral,59389
epistaxis,7847
lumbalgia,M5450
artropatia degenerativa generalitzada,71509
vino,F1010
hemofilia a grave,D66
196.5,C774
disfagia alta,R1319
mastectomia mama der,0HTT0ZZ
insure,0BH17EZ
herpes zoster,B029
deshidratacion,E860
ptr derecha,Z96651
derrame pericardico,42090
eritromicina,3E03329
atonia uterina posparto,O7589
b+,Z6720
hipernatremia recien nacido,P741
etmoidotomia,099V4ZZ
amenada de parto prematuro,O6003
deficit factor vii,D682
mtx,80006
"hipertension portal,",K766
macrosoma parto,O3663X0
38.4 semanas,Z3A38
anemia ferropenica parto,O9902
diabetes mellitus tipo ii,E119
parada cardiorrespiratoria sars cov-2: negativo,Z20822
una encarnada,L600
imc 39,Z6839
marcapasos,V4501
aneurisma carotida interna izquierda,I720
sondaje vesical,0T9B7ZZ
pirosis,7871
metastasis pulmonar bilateral,C7801
poliposis colonica,K635
imc 51,Z6843
biopsia renal,5523
itus de repeticion,Z87440
sondaje urinario,0T9B7ZZ
acromioplastia derecho,0RQG4ZZ
hiperestimulacion ovarios,N981
osteopenia,M8580
grupo sanguineo materno: ab positivo,Z6730
angiolipoma,88610
maduracion pulmonar,3E0233Z
acidosis respiratoria,2762
vph parto,64761
cirrosis biliar primaria,K743
gsrh: o positivo (,Z6740
claudicacio intermitent,44021
htp moderada,I2720
colocacion de cateter doble j izquierdo,0T9780Z
reseccion de ileon,Z9049
dolor abd,78900
salpinguectomia bilateral laparoscopica,0UT74ZZ
parto estacionado,O621
discopatia lumbar,72293
contractura muscular cervical,M436
deficit de factor vii,D682
hashimoto part,O99284
carcinoma ductal infiltrante,85003
protesis mamaria,Z9882
hepatopatia part,O2662
hemorragia uterina,N938
polipo endocervical,N841
desaturaciones recien nacido,P285
alergica a:niquel,Z91048
rubeola no inmune,Z228
vm,5A1945Z
retard pondo estatural,78343
salpingooforectomia bilateral,0UT20ZZ
ateromatosis aortica,I700
hernioplastia lichtenstein,0YU50KZ
desgarro i:,O700
imc 38,Z6838
palpitaciones,7851
displasia de cadera,Q659
embolizacion arterial utero,6825
broncoespasme agut,J9801
ptr izda,V4365
desbridamiento ulcera sacra,0JB70ZZ
mastectomia derecha,0HTT0ZZ
hemangiomas hepaticos,D1803
seroma herida quirurgica,99813
mer oi,H35372
angio-tac toracico,BW24Y0Z
quiste de inclusion,L723
nefropatia ig a,N028
esteatosis hepatica,K760
bronquiolitis vrs positiva recien nacido,J210
it,I071
q44.6,Q446
anexectomia bilateral por laparoscopia,0UT24ZZ
40 setmanes,Z3A40
rinitis alergica,J309
bebedora,F1010
trastorno bipolar,29680
ecografia abdomional,BW40ZZZ
gs a+,Z6710
trisomia,O351XX0
carcinoma endometrioide,1820
protesis bilateral,Z96653
historia de rtto,Z923
hiperlipemia part,Z3A40
depresivo,311
traumatica,E9289
anexectomia bilateral,0UT20ZZ
gingivoestomatitis herpetica,B002
hipospadias,Q549
migranas parto,O9989
avortament espontani incomplet,O034
bradicardia fetal,O76
otoesclerosis,H8090
bc/ba,V9103
endometriosis recto,6175
covid parto,U071
cin,80772
ecografia reno-vesical,BT4JZZZ
avulsio dentales,87363
mastitis pueperal,O9122
anemia ferropenica anteparto,2809
methergin im,3E023GC
cesarea,741
legrado uterino evacuador,10D17ZZ
anexectomia izquierda,0UT60ZZ
"grupo sanguineo materno: a , rh: negativo",Z6711
duodenal,0DB98ZX
amenorrea: 40+,Z3A40
hernia de hiato,K449
gardenella vaginalis,04189
fibrosis quistica,E849
psoriasis part,O9972
carcinoma de mama derecha,C50911
desgarro de 1er grado,O700
carcinoma urotelial,81203
hernia inguinal bilateral,K4020
sutura desgarro vaginal,0UQGXZZ
retraso pondoestatural,R6251
nodulo tiroideo part,O99284
decaimiento,78079
grupo sanguineo materno: o rh positivo,Z6740
rctg : no tranquilizador,O76
oligohidramnios,O4103X0
glaucoma od,H409
infeccion de tracto urinario,N390
hemiparesia izquierda,G8194
ansiedad generalizada part,O99344
otoesclerosis,H8090
osteoporosis,M810
hernia incisional malla,0WUF0JZ
tc torax,BW24ZZZ
vm,9671
cin iii,D069
adhesiolisis,5459
fuma,3051
quimioterapia,3E03305
sarcoidosis parto,D869
forceps,720
brdhh,4264
vive en residencia,Z593
sindrome raynaud parto,O9942
nalgas,O321XX0
enfisematoso,4928
accidente secuela,X58XXXS
covid 19,U071
hipoacusia mixta,38922
antecedente obito fetal,V2349
ortostatismo,I951
madden izquierda,0HTU0ZZ
cor pulmonale cronico,I2781
vertigo periferico,H81399
hemoptisi,R042
anemia ferropenica cronica sangre,2800
port-a- cath,8607
linfedema congenito multisegmentario,7570
empiema,5109
histerectomia abdomial radical,0UT20ZZ
gammaglobulina antid,65611
herpes genital parto,O9832
tc toracico,BW24ZZZ
dolor epigastrico,78906
monitorizacion pulsioximetrica,4A12X4Z
0 negativo,Z6741
eef,3726
politraumatizado,T07XXXA
nst no tranquilizador,65681
anticoagulacion,Z7901
duelo,Z634
linfadenectomia axilar izquierda,07T60ZZ
obito fetal,O364XX0
cancer endometrioide,83803
nauseas vomitos,R112
gastritis cronica part,O9962
i50.30,I5030
intoxicacio etilica,F10120
anexectomia bilateral profilactica,Z4002
preeclampsia part,O1494
penfigo ampolloso,L120
cateter arterial,03HY33Z
broncodilatador,3E0F7GC
quiste folicular ovario,6200
depresion part,F329
hipertiroidismo parto,E0590
neoplasia de endometrio,C541
cin 1,N870
ecocardiografia,8872
neuropatia cubital derecha,G5621
fumadora parto,O99334
irritabilitat,R454
histerectomia,E8786
migrana parto,Z370
alergica a: nolotil,Z886
derrame pleural,J90
anexectomia izquierda,Z90721
enfermedad de parkinson,G20
taquicardias,R000
historia de infarto cerebral,Z8673
sincopes,R55
obesidad morbida parto,E6601
neoplasia,80003
incompetencia cervical 2t,O3432
instilacion de mmc,3E0K805
anexectomia bilateral profilactica,Z4002
esofagitis eosinofilica,K200
grupo sanguineo : a +,Z6710
cin 3,2331
re +,Z170
nefrectomia,V4573
cru de repeticion,Z87448
dolor poliarticular,71949
geu tubarico izquierdo,O00102
madden der,07T50ZZ
bacteriemia posparto,O8689
urticaria cronica parto,O9972
hipotiroidismo getacional,O99284
rinoconjuntivitis intermitente,H109
mioma subseroso part,D252
epilepsia generalizada parto,G40409
amigdalectomia,0CTPXZZ
pancreatitis,K8590
gemelos,65101
leucemia aguda mieloblastica,20500
aborto tardio,O039
historia embarazo ectopica,O0913
d84.821,D84821
protesis,8553
cin,N879
hipotiroidismo 1t,E039
ile por t21,O351XX0
hipotiroidismo madre recien nacido,P0089
podalica,O328XX0
fiebre persistente,R509
grupo a positivo,Z6710
alergia a metamizol,Z886
histeroscopia quirurgica,0UB98ZZ
ecografia renal,BT4JZZZ
deterioro cognitivo,F09
atrofia ovarios,N83311
cordocentesis,10903ZC
historia infarto agudo miocardio,412
ileocolitis,K529
polhidramnios,O403XX0
absceso de mama y pezon,N611
desproporcion pelvico-fetal.,O334XX0
34+5 sem,Z3A34
leucemia linfatica cronica,C9110
mastectomia izquierda,Z9012
desgarro periuretral,0TQD7ZZ
diabetes gestacional,O24429
extraccion manual de placenta,O730
urocultivo,5990
rinoconjuntivitis alergica,H1045
d62,D62
cardiopatia isquemica,I259
mioma subseroso,D252
qmt,Z9221
alergico a terramicina,Z881
hipotirodisimo parto,E039
recambio de expansor,8596
anemia aplasica,D619
hipotiroidismo parto,E282
hernioplastia umbilical con malla,0WUF0JZ
desprendimiento parcial de placenta,O458X3
madden izquierda,0HTU0ZZ
hipercolesterinemia,E7800
hematurica,R319
absceso odontogeno,5225
grupo sanguineo :ab+,Z6730
salpinguectomia geu izq lap,0UT64ZZ
colocacion de sng,9607
alergica al nolotil,V146
kjielland,10S07ZZ
hipoacusia bilateral,H9193
asma part,O99354
hemorragia digestiva baja,5789
poliquistosis renal,75312
pielonefritis aguda izquierda,N10
cancer mama cii,1743
diuretico,9929
fap,I480
tumerectomia mama derecha,8521
desgarro grado iiia,0DQR0ZZ
recien nacido,V270
radiografia de torax,BW03ZZZ
linfadenectomia axilar derecha,4051
carcinoma endometrioide,83803
obesidad part,E039
insuficiencia venosa cronica,45981
enolismo,F1020
sag :+,O99824
hepatopatia part,K769
bocio multinodular parto,O99284
artritis reumatoide,M069
radiografia de abdomen,8819
hemorroides internas,K648
nebulizados,3E0F7GC
lca rodilla derecha,M23611
angina,4139
gammaglobulina,9914
proteinuria,7910
pe leve,64241
altres dolors aguts,33819
gonartrosis izquierda,M1712
esclerosis multiple parto,Z370
escoliosis parto,Q774
ansiedad generalizada parto,O99344
cataracta ull esquerre,08RK3JZ
ligadura,Z302
covid parto,O9852
celiaquia part,K900
cistectomia radical laparoscopica,0TTB4ZZ
adenoma de paratiroides,2271
faco + lio oi,08RK3JZ
ascitis maligna,R180
fatiga cronica,R5382
metrorragia postmenopausica,6271
deficit proteina s parto,O9912
metrorragia anteparto,64193
quistes renal derecho,N281
hernia umbilical,K429
protesis de cadera izquierda,Z96642
gestante de 40 sg,Z3A40
quemadura 3 codo izq,T22322A
temblor esencial,G250
: e.coli,B9620
dinoprostona,3E0P7VZ
celulitis preseptal,L03213
malformacion fetal,O358XX0
al·lergies: als acars,V1506
bloqueo completo de rama izquierda,I447
hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva,N189
rubeola no inmune,O9852
candidiasis vaginal parto,B373
candidiasis vaginal parto,B3732
erc estadio iv,N184
vertigo,R42
uce,1748
hipertension insuficiencia cardiaca,I110
doble anexectomia laparoscopica,0UT74ZZ
madre con neoplasia gastrica,Z800
fibromialgia parto,O9989
sindrome de sjogren,M3500
hipercloremia,E878
padres consanguineos,Z843
doble anexectomia,0UT70ZZ
vomitos,78703
lla,20400
diabetes mellitus,E119
presbicia,H524
transplant,E8780
trastorno depresivo,F329
glaucoma,H409
hipoglucemia neonatal precoz,P704
prolapso uterovaginal completo,N813
mc call,0UQF7ZZ
suero,3E0337Z
restrenyiment,K5900
mastectomia,Z9010
hernioplastia inguinal bilateral malla,0YUA0JZ
anemia ferropenica 2t,D509
anemia cronica,2859
papiloma laringe,2121
insuficiencia venosa,45981
accident d,X58XXXD
laringomalacia,7483
histerectomia total abd,0UTC0ZZ
cums,8776
glioblastoma multiforme,94403
historia de tiroidectomia,Z8639
34+4 seemanas,Z3A34
ecografia ginecologica,BU4CZZZ
hiperpotassemia,E875
lavado broncoalveolar,3324
radiografia torax,BW03ZZZ
gs materno a+,Z6711
adenocarninoma,81403
sindrome confusional agudo,2930
quiste epidermico,L720
ecografia,BY4FZZZ
hipercolesterolemia,E7800
gastritis cronica,53510
biopsia uterina,0UB98ZX
trastorno bipolar part,O99344
sarcoidosis parto,O9912
artroplastia total de cadera derecha,Z96641
toxicodermia,L271
artrodesis lumbar,Z981
contractura muscular,72885
trastorno esquizo afectivo,F259
legrado uterino obstetrico,6902
eco abd,8876
dehiscencia de herida,99832
polipectomia colon,0DBE8ZZ
macrosomia fetal,O3663X0
ecografia toracica,BH4BZZZ
infartos cronicos,I6782
anemias ferropenica cronica sangre,2800
partos,7359
itus repeticion,Z87440
hierro intravenoso,3E033GC
oxigeno,9396
coleccion subcutanea,L02211
sordera,H9193
sg: 40 +2,Z3A40
bsgc d,07B50ZX
dispepsia gastrica,K30
laparoscopica,5421
ertapenem,3E03329
cpap 1,5A09357
32+ 5 semanas,Z3A32
leucocitosis part,D72829
hipertension arterial erc insuficiencia cardiaca congestiva,N189
nefroureterectomia derecha laparoscopica,0TT04ZZ
imc: 32,Z6832
mtx pulmonar bilateral,C7802
infertilidad,N979
sindrome antifosfolipidico part,64931
diverticulitis no complicada,K5732
hipoalbuminemia,E8809
cirrosis hepatica virus hepatitis C,B182
mastectomia,Z9010
alergia amoxicilina,Z880
colitis ulcerosa parto,O9962
radiografia de torax y abdomen,BW00ZZZ
sangrado uterino anormal,N938
feto grande para edad gestacional,O3663X0
historia linfoma,Z8579
bulimia,F502
leiomiomas,D259
hernia de hiato part,O9962
adenomiomatosis vesicular,2115
quiste ovario parto,O3483
depresion parto,64841
k85.10,K8510
historia de linfoma,Z8572
prolapso mitral parto,I341
hiperlipemia,E785
insuficiencia cardiaca,I509
historia tromboflebitis,V1252
demencia alzheimer,G309
neumonia,486
paraplejia,G8220
eosinofilica,D721
fotosensibilidad solar,L562
ansioso,F419
tda,F909
quiste ovari,6202
ecografias abdominales,BW40ZZZ
quistectomia ovarica izquierda laparoscopica,0UB14ZZ
escoliosis parto,O9852
cistectomia radical lap,0TTB4ZZ
neumonia covid parto,O9852
granulomatosis de wegener,M3130
z94.0,Z940
celiaquia,5790
cos estrany,E915
colon irritable parto,O9962
supradosificacion de sintrom,T45515A
artritis psoriasica,L4050
rinitis alergica,4779
gemelar monocorial biamniotica,O30033
folicular ovari,6200
bicorial-biamniotico,O30043
covid persistente,U099
higado graso,K760
bronquiolitis,J219
doble lesion aortica,I352
adherencias part,O9912
amigdalectomia + adenoidectomia,283
hipertension arterial enfermedad renal cronica estadio iiia,I129
hipertensio,I10
transplante de progenitores hematopoyeticos,V4282
dai,V4502
desproporcion pelvico-fetal,O334XX0
quemadura pierna derecha,0JBN0ZZ
tns no tranquilizador,O76
retard psicomotor,3079
sindrome antifosfolipido parto,64931
lumbago amb ciatica,M5440
presentacion transversal,65231
penicilinas,V140
parestesias,R202
trombocitopenia parto,Z370
acortamiento cervical parto,64971
distocia 2,65281
fimosis,N471
dilatacion de aorta ascendente,4412
grupo sanguineo:a+,Z6710
sindrome apnea obstructiva sueno,32723
ecografia renal:,BT4JZZZ
39+1semanas,Z3A39
conversion a laparotomia,V6441
colocacion de stent,V4582
hidrocefalia cronica del adulto,3314
enfermedad de caroli,75169
obesa,E669
hipertension arterial insuficiencia renal cronica 5 insuficiencia cardiaca congestiva,I509
consumo oh,F1011
puerpera,Z390
primigesta de 40,O480
uveitis,3643
ecografia abdominal,8876
defecte septal interauricular,Q211
pti,28731
histeroscopia diagnostica,0UJD8ZZ
neoplasia,80000
dolor toracic,R079
astigmatisme,36720
flegmo submaxilar,6820
radiografia de torax,BW03ZZZ
trastorno limite de personalidad,30183
neoplasia de mama der,C50911
dolores lumbares,M545
al.lergies esparadrap,Z91048
asma parto,64891
alcohol parto,Z880
litiasis renal,N200
hipotiroidismo gestacional,O99284
mujer,Z370
fibromialgia part,O99891
disfuncion erectil,N529
colitis ulcerosa parto,O9962
protesis cadera derecha,Z96641
version cefalica externa,10S0XZZ
tumor phyllodes benigno,90200
quiste luteo ovario,6201
desgarro grado ii,66411
osteoporosis corticoidea,M818
sinovectomia artroscopica,0SBC4ZZ
hipertension arterial insuficiencia renal cronica 3,I129
desgarro ii .,0KQM0ZZ
hipotiroidismo qx,E890
paralisis de bell,G510
dolor abd,R109
estilsona,3E0333Z
macrosoma,O3663X0
arnold chiari,Q0700
hipertension arterial insuficiencia renal cronica,N189
varices en mii,I8392
alergica a la penicilina,Z880
"re: ++/+++,",Z170
grupo sanguineo: o positivo,Z6740
tumorectomia mama derecha,0HBT0ZZ
vomito,R1110
incompetencia cervical,N883
: 41+1,O480
covid: negativo,Z20822
fuma,3051
tc abdominal,BW20ZZZ
discopatia degenerativa c5-c6,M50322
gardnerella vaginalis,B9689
goanrtrosis izq,M1712
hiportiroidismo parto,2449
hiperesplenismo,D731
leucemia linfoblastica aguda,20400
rubeola negativa,O9852
26+1 semanas,Z3A26
sindrome de intestino corto,K912
alergica a:metamizol,Z886
miopia parto,H5210
puerpero,Z390
gonastrosis,M1710
episiotomia,736
hipotiroidismo part,O99284
corioamnionitis,O411230
doble ureter,Q625
alotransplante,Z9481
insufic tricuspidea,3970
646.21,O26833
linfopenia,D72810
c. isquemica,I259
extraccion manual de placenta,10D17Z9
hipertension arterial insuficiencia renal cronica insuficiencia cardiaca congestiva,I509
prolapso cistocele,6184
hemorragia post-parto,O721
hernioplastia inguinal derecha con colocacion de malla,0YU50JZ
pubertad precoz,2591
puncion folicuar,0UDN3ZZ
hipotiroidisme parto,O99284
metastasis ganglio axilar,C773
meduloblastoma,1916
metrorragia,N921
cistoadenocarcinoma endometrioide,83803
ganglio centinela,4011
grupo sanguineo: a (+),Z6710
drenaje mama der,0H9T0ZZ
lloc,E8499
hidrosalpinx,6141
26 sem,Z3A26
linfadenectomia pelvica bilateral laparoscopica,07TC4ZZ
se extrae coagulo,10D17Z9
marcapasos vvi 2,3771
elevacion transaminasas,R740
artritis,M1990
trastorno del sueno,G479
erc 5,N185
histerectomia total,0UTC0ZZ
pitiriasis versicolor,B360
r80.1,R801
sindrome febril,78060
gestacion cronologicamente prolongada,64511
shock septico,R6521
anemia microcitica ferropenica,2809
hemorroides pp,O872
artirtis cronica juvenil,M0800
oh ocasional,F1010
grupo b rh negativo,Z6721
: b rh negativo,Z6721
2 ch,9904
antibiotico,3E03329
detrussor hiperactiu,59651
deficit proteina s parto,O9912
carcinoma de mama,1749
gsrh: . o +,Z6740
cos luti ovario izq,N8312
apendicitis aguda,K3580
nefrostomia izquierda,0T9430Z
degarro de segundo grado,O701
maduracion pulmonar,3E023GC
rinitis atopicas,J309
corticoide,9923
desgarro vagina,0UQGXZZ
debut diabetes mellitus 1,25081
celiaca parto,64891
: 0 negativo,Z6741
drenaje de absceso vulvar,0U9M0ZZ
asma persistent greu,J4550
apendicectomia,0DTJ0ZZ
histerectomia radical,0UTC0ZZ
by pass coronario,Z951
forceps fallido,O665
cancer vagina,1840
anexectomia izquierda,6549
dpf 2,66011
hiv parto,Z21
ltb,0UL70ZZ
grupo sanguineo materno 0 positivo,Z6740
alergias: quinolonas,Z881
fistula mama,N610
covid historia,Z8616
bradicardia fetal,65971
angio tomografia axial computarizada abdomen,BW20Y0Z
puncion dural posparto,O746
estenosis aortica severa e insuficiencia mitral,I080
tratamiento quimioterapico,V5811
"desgarro vulvar,",0UQMXZZ
perforacion timpanica derecha,38420
neutropenia febril 1,28803
intervinguda d'hernia discal,V1359
histerectomia total,Z90710
sobrepeso parto,O99214
valvula ventriculo peritoneal,V452
anemia ferropenica cronica sangre,2800
doble anexectomia,07BC0ZX
esofagitis eosinofila,53013
hipovitaminosis d,E559
neoplasia de ovario,1830
sgb,O99824
anemia 2t,O99012
k40.90,K4090
22 semanas,Z3A22
790.92,R791
adenocarcinoma,81403
cesareas previas,O34211
parestesias,7820
estrenimiento parto,K5900
color : sanguinolento,O770
eco,BW40ZZZ
cesarea ant,65421
"hernia discal l4-l5,",M5126
rmn rodilla derecha,BQ37ZZZ
implante de protesis mama,8553
40 .6 sem,Z3A40
hipotiroidismo postoperatorio part,O99284
artrogriposis,75489
utero miomatoso part,O3413
radiografia de torax,BW03ZZZ
cancer de mama izquierda,C50912
hidronefrosis congenita,75329
estenosis aortica,I350
lavado vesical,3E1K78Z
deterioro cognitivo multifactorial,F068
obseidad,27800
historia trombosis venosa profunda,Z86718
cpap 2,5A09557
0 rh: positivo,Z6740
biopsia gastrica,4414
ucs,1748
shock septico,78552
puncion dural posparto,O746
claudicacion intermitente,44021
obesidad parto,E669
hta. erc insuficiencia cardiaca congestiva,I130
paralisis diafragmatica,J986
diverticulos duodenales,K5710
mtx ganglio axilar,1963
multipara,65941
historia cancer tiroides,V1087
extraccion manual de placenta,10D17Z9
fallida renal aguda,N179
anemia hierro,2809
rosacea,L719
epilepsia convulsiva,G40409
cateter doble j bilateral,0T9880Z
cesaria anterior,O34211
portador marsa,Z22322
methergin im,3E023GC
restos puerperales,O731
insuficiencia renal aguda 2+,51881
falta de progresion parto,O621
quiste paratubarico,N838
prematuridad 2000,P0718
hipertransaminemia,R7401
fosita sacra,Q7649
robotica,8E0W4CZ
fiebre puerperal,O864
28+3 semanas,Z3A28
alergia contraste iodado,V1508
imc 41,V8541
hipotiroidismo tiroidectomia parto,O99284
retencion placenta,O730
miomas,88950
polipo cervix parto,N841
anexectomia izquierda,0UT10ZZ
infecciones urinarias repeticion,Z87440
alergia penicilina,Z880
neutropenia,28800
mastectomia (mama derecha,0HTT0ZZ
tumorectomia de mama izquierda,0HBU0ZZ
deflux,3E0K7GC
hierroterapia,9929
migranas,34690
591,N1330
cesarea iterativa,O34211
herpes genital parto,O9832
antiagregada,Z7902
intubacion orotraqueal,9604
gastrectomia parcial,4389
cateterismo,3721
sangrado pp,O721
hemorragia posparto,66612
osteoartrosis,M1990
ecoscopia,8872
mcba,V9102
cesaria ant,O34219
avortament,63490
miomatoso,2189
cefalea postpuncion dural,3490
sindrome de dumping,K911
insomni,78052
trastorno del estado de animo,F39
diabetes gestacional a1,O24420
o +,Z6740
avc h,V1254
ecografia 2t,BY4CZZZ
41+2 semanas,Z3A41
bocavirus,B348
peridural,3E0R3BZ
cardiopatia fetal,O358XX0
ecografia 2t,BY4CZZZ
ltb,0UL70ZZ
osteotomia tibia izquierda,0Q8H0ZZ
diverticulosis parto,O9962
augmentine,9921
enfermedad renal cronica 3,N183
41 +2 semanas,Z3A41
: vejiga hiperactiva,N3281
iue,N393
ecografia axilar,BH47ZZZ
turbinoplastia,J343
vacterl,Q872
eco abd,BW40ZZZ
serum,3E0337Z
trasplante renal,Z940
hipotiroidismo postquirurgico parto,O99284
tc de abdomen,BW20ZZZ
diabetes mellitus 2 parto,O2412
historia de neumonias,Z8701
pielonefritis aguda,59010
toc parto,O99344
expansor mama derecha,0HHT0NZ
mioma parto,Z370
bronquitis aguda rhinovirus,J206
caruncula uretral,N362
epidural,3E0R3BZ
protesis rodilla derecha,Z96651
salpinguectomia izquierda lap,0UT64ZZ
cistectomia radical,0VT00ZZ
diarreicas,78791
bicorial-biamniotico,O30043
grupo sanguineo materno: a positivo,Z6710
hiperplasia de prostata amb obstruccio urinaria,N401
reseccion ileocecal,Z9049
alergias quinolonas,Z881
bloqueo incompleto de rama derecha,I4519
obesidad part,E669
ulcera gastrica parto,O9962
reparacion hipospadias,0TSD0ZZ
h trombosis venosa profunda,V1251
puerperio - infeccion tracto urinario,O8629
alergia penicilina,Z880
gestacional no controlada,V237
adenoamigdalectomia,J353
hipertrasaminemia,R7401
sop parto,E221
adherencia parto,O9962
lavado vesical continuo,3E1K78Z
erc reagudizada,5849
protesis biologica aortica,Z953
neumonectomia,V4576
edemas en extremidades inferiores,R600
revision manual de cavidad uterina,0UJD7ZZ
talasemia minor,28246
reseccion transuretral de tumor vesical,0TBB8ZZ
441.2,I712
histerectomia,0UT90ZZ
leucopatia isquemica,I6782
leiomioma,D259
distocia cesarea,66021
mioma submucoso,2180
carcinomatosis peritoneal,1976
artrosis manos,M19042
maladaptacion pulmonar recien nacido,P221
falsa via uretral,N365
disminucion movimientos fetales,O368130
celulitis mama,N610
dermatitis atopica,6918
sutura vesical,0TQB0ZZ
re -,V861
agresividad,F603
cistectomia radical laparoscopico,0VT34ZZ
