Code,Literal
K7030,Cirrosis hepática enólica
5950,Cistitis
3142,laringoscopia
P2889,Bronquiolitis aguda VRS rn
B9620,Pielonefritis aguda por E Coli
O039,ABORTO
D6851,Hipertiroidismo part
99812,Hematoma postIQ
E039,hipotiroidisme
R55,pérdida de consciencia
D6859,Déficit proteína C
0YQA0ZZ,herniorrafia inguinal bilateral
N879,Displàsia cervical parto
C539,Adenocarcinoma de cérvix
4011,Ganglio centinela
64891,Colelitiasis parto
9394,broncodilatadors
Z6841,IMC 43'7
Z886,PIRAZOLONAS
8891,RM cerebral
B9561,Staphylococcus aureus meticilin sensible
F418,Síndrome ansioso depresivo
1474,vitrectomia
E6601,obesidad mórbida part
0HBT0ZZ,exeresis MAMA DERECHA
O9989,artirtis reumatoide parto
I872,insuficiència venosa crònica
I081,Insuficiencia mitral y tricuspídea
E890,hipotiroidismo Tiroidectomía parto
3E0R3BZ,Peridural
X509XXA,entorsis
64911,obesidad part
Z21,VIH parto
G319,Atrofia cerebelosa
Z886,ALERGIAS: PIRAZOLONAS
64891,migraña parto
BB4BZZZ,Ecografía pleural
K3580,Apencitis aguda
Z6740,Grupo 0 positivo
4292,dilatación esofágica
M19042,Artrosis de manos
Z880,Alergia a Amoxicilina
D72820,Linfocitosis
2851,Anemia postparto 2
3E023GC,adrenalina intramuscular
0UDB8ZZ,legrado
I120,hta IRC 5
2851,anemia sang
I10,HTA crónica
V9103,bc ba
Z8781,Historia de Fx
3E0333Z,cortisona
Z6835,Fumadora part
Z8639,Historia de Hemitiroidectomia
E049,Bocio
R270,ataxia
0UT74ZZ,doble anexectomia lap
0DH67UZ,ne sng
F1010,Cerveza
B420YZZ,Angio TAC abdomen
O322XX0,feto en transversa
3E013VG,Insulinoterapia
0D168Z4,Gastrostomía
Z96641,prótesis total de cadera derecha
3E03329,antibióticos
V140,ALERGIA A LA PENICILINA
Z302,ligadura .
66441,desgarro
Z992,Dependència de diàlisi renal
Z3A37,37 sem
80001,neoplasia inespecifica
3E0333Z,antiinflamatorio
BT49ZZZ,Ecografía injerto renal
3E0G86Z,nutrición enteral por sonda nasogástrica
C50911,neo mama dreta
82710,Prolactinoma
Z3A31,31+5 semanas
BY4FZZZ,eco obstet
BW40ZZZ,Ecografia de abdomen
Z3A40,40+0 SG
64891,Psoriasis parto
28851,linfopenia
E2740,Insuficiencia Suprarrenal
C253,TMPi
282,Amigdalectomía
Z933,colostomía
4131,aspirado de médula ósea
S01301A,S01.301A
Z8041,Madre Ca de ovario
L4050,Artritis Psoriasica
3323,broncoscopia flexible
BW20ZZZ,Tac abd
Q600,agenesia renal izquierda
Q677,péctus carinatum
53510,Gastritis crónica
3510,parálisi facial
O9852,Obesidad part
BW20ZZZ,TC de abdomen
Z2239,Portador de Klebsiella pneumoniae
F4320,trastorno adaptativo parto
6541,Anexectomía IZQUIERDA lap
D649,anemia crónica
4673,sutura intestino delgado
M419,cifoescoliosis
Z933,Colostomía
Z6740,GS: O positiu
65421,Cesárea en 2013
4928,Emfisema pulmonar
C55,leiomiosarcoma uterina
K449,hernia de hiato part
Z905,Nefrectomía derecha
3E0F7GC,nebulizado
Z9981,oxígeno domiciliario
0KQM0ZZ,Desgarro 2
4019,Hipertension arterial
Z9884,cirugía bariátrica
3324,lavado broncoalveolar
Z6731,AB NEGATIVO
Z6710,GSRh: A positivo
7569,Desgarro tipo I
5412,relaparotomia
N4289,Calcificaciones prostáticas
736,episiotomía
Z87440,infecciones urinarias de repetición
O9852,Rubeola NEGATIVO
80503,Carcinoma papilar
R161,Esplenomegàlia
O700,Desgarro
S82841A,FRACTURA BIMALEOLAR TOBILLO Der
4263,bloqueo de rama izquierda
R197,diarreiques
Z87891,Exfumadora
90100,Fibroadenomas
9921,Antibiòtics
C678,NEOPLASIA VESICAL multiple
G9349,Encefalopatia hipòxica
Z6720,GS B +
O701,desgarro 2
R410,desorientación
64251,Preeclamsia grave
B349,Infecció vírica
63491,aborto tardío
0HBT0ZZ,tumorectomía mama d
O4103X0,Oligoamnios
P015,gemelar rn
0HQ9XZZ,sutura episiotomía
O721,HEMORRAGIA POSTPARTO
S72001A,FR CADERA DERECHA
O99284,hipotir PARTO
0UB98ZZ,POLIPo endometrio
T8332XA,DIU migrado
23332,vin III
0UQMXZZ,Desgarro labial
Z6710,"Grupo sanguíneo materno: A, Rh: +"
E8788,postoperatoria
O7581,agotamiento materno
34831,encefalopatia metabolica
O99213,obesidad 3t
E669,obesidad 2t
J479,BRONQUIECTASIS
O360130,anti-D.
Z302,z302
Z6740,GS O+
Z6740,GSRh O +
J22,Infección de vías respiratorias bajas
Z886,Alergia a Nolotil
J301,Alergia al polen
I4519,BCRDHH
O770,aguas meconiales
5225,Flegmo dentari
BY4CZZZ,ECO 2T
F17210,Tabaquismo parto
E210,hiperparatiroidismo primario
64891,Asma parto
M1810,Rizartrosis
9672,vm 2
51884,Insuficiencia respiratoria crónica agudizada
5A09457,cpap
Z6711,: A Negativo
9921,Cefuroxima
M1A9XX1,tofo gotoso
Z6740,"Grupo sanguíneo materno: 0 , Rh: Positivo"
3E0337Z,diurético endovenoso
N920,SMA
K819,Colecistis
M1811,RIZARTROSIS DERECHA
7936,rafi tobillo
P284,APNEA rn
4053,Linfadenectomía pélvica
O364XX0,obito fetal
V4382,Protesis mamarias
9815,extracción de cuerpo extraño
R6251,estancamiento ponderal
M48061,Estenosis lumbar
8521,tumorectomia mama izquierda
G40309,G40.309
R252,Espasmes del plor
64623,cólico nefrítico anteparto
BT4JZZZ,Ecografía reno vesical
0JQC0ZZ,MANCHESTER
6563,Doble anexectomía lap
64203,HTA anteparto
6849,histerectomía abdominal
O3663X0,macrosomía fetal
E6601,OBESIDAD MÓRBIDA
F840,autismo
D259,MIOMa
V0251,sgb +
0T9480Z,doble J izquierdo
8895,RM pélvica
3E03305,qt
78630,hemoptisis
3E0K805,MMC
D696,trombopenia
0HBT3ZX,BAG mama derecha
O80,PARTO
10907ZC,amniorrexis
F068,Trastrono Cognitivo
75162,POLIQUISTOSIS HEPATica
O458X3,DPPNI
81203,Carcinoma urotelial
0412,neumococo
V1509,esparadrapo
Z9851,Ligadura tubárica
Z886,Alérgica a los Aines
6141,hidrosálpinx
Z1624,MULTIRESISTENTE
I169,crisis hipertensiva
R1319,atragantamiento
Z96649,Prótesis de cadera
O99284,dislipemia part
O6989X0,Procidencia de mano.
0TT00ZZ,Nefrectomía radical derecha
C569,neoplasia ovárica
10D17ZZ,Legrado evacuador obstetrico
27801,Obesidad mórbida
0YUA0JZ,hernioplastia inguinal bilateral con malla
88950,MIOMA
D6101,Anemia de Blackfan Diamond
31289,alteracion conductual
6171,ENDOMETRIosiS OvARIO
O3421,CESÁREA ANTERIOR
0UT90ZZ,Histerectomía
07T60ZZ,MADDEN izquierda
I120,hta irc 5
Z8616,Historia de SARSCOV2
O9989,Utero bicorne parto
8541,mastectomia simple de mama izquierda
10D07Z8,NALGAS
H5210,miopia part
Z90710,HITERECTOMIA
F1020,alcoholismo
5859,IRc
D509,anemia feropénica
8020,Fractura nasal
Y92239,hospital
0T9330Z,nefrostomía bilateral
O649XX0,distocia de rotación
O731,RESTOS PUERPERALES
V8542,IMC 48
84410,Cistoadenoma seroso
Z6741,0 negativo
4270,TPSV
47411,hipertrofia amigdalas
51881,Insuficiencia cardio-respiratoria
10D00Z1,cesareas
Z90721,ooferectomía derecha
O730,restos placentarios
Z3A18,18 semanas
M47814,espondilosis dorsolumbar
74900,fisura palatina
Z96653,ptr bilateral
H1045,Rinoconjuntivitis alergica
8876,Ecografía de abdomen
9918,sueroteràpia endovenosa
O4202,REM
C50911,cdi mama der
95300,MENINGIOMA
0UJD7ZZ,Alumbramiento: Dirigido con revisión de cavidad
72293,discopatia lumbar
B348,Bocavirus
O4202,ruptura prematura de membranas 1
Z3A40,40+4sg
O6981X0,bandolera
4149,Cardiopàtía isquémica
J205,bronquitis VRS
07T50ZZ,MAdDEN DERECHA
N189,HTA irc ICC
E119,DM 2
5849,INSUFICIENCIA RENAL CRONICA REAGUDIZADA
53081,Reflujo gastro-esofágico
5123,colecistectomía lap
0HTU0ZZ,Mastectomia total izquierda
K7689,quistes Hígado
M6208,Diàstasis de rectes
Q848,Aplasia cutis
BU4CZZZ,Ecografía TV: Útero
Z6740,Grupo sanguíneo: O Rh:positivo
B9620,Escherichia coli. *
D259,Utero miomatoso
K661,Hemoperitoneo
D1800,Hemangioma
E8781,osteosíntesi
0UTC0ZZ,Histerectomia total abd
2864,Enfermedad de Von Willebrand
25201,Hiperparatiroïdismo
O30033,Monocorial-Biamniótica
8819,Radiografía de abdomen
0UQMXZZ,laceraciones en labio
F419,Ansiedad
63490,Aborto
B964,proteus mirabilis
R748,elevación de GGT
1975,mtx recto
O7022,Desgarro III-B
M119,Artritis Microcristalina
9904,3CCHH
C562,Carcinoma ovario bilateral
C55,LEIOMIOSARCOMA UTERINO
H269,catarata
O3413,mioma subseroso parto
65583,655.83
B246ZZ4,ecocardiografía transesofágica
I50810,Insuficiència cardíaca dreta
BR39ZZZ,rm lumbar
57410,Colecistitis cronica litiasica
61801,cistocele
I209,Angina de esfuerzo estable
0DTJ4ZZ,apendicectomía laproscópica
0UB90ZZ,Miomectomía
56089,Suboclusion intestinal
R791,alteración de la coagulación
B079,verruga vulva
Z96651,ptr der
R1013,dolor epigástrico
W19XXXA,CAIDA
O714,desagarro vaginal
3E033GC,antihistamínico
Z9079,prostatectomía
0DB38ZX,Biopsia esófago distal
E876,hipopotasèmia
O99333,Fumadora 3T
I447,BLOQUEO DE RAMA IZQUIERDA
E7253,Hiperoxaluria
O09523,Secundípara
Z3A41,41 semanas
E039,Hipotoridismo
96733,Linfoma del manto
E782,Dislipemia mixta
2125,teratoma MEDIASTINO
H65191,H65.191
0HRV37Z,lipofilling mama izquierda
064,Tiroïdectomía total
Z6841,obesidad morbida parto
B340,Bronquitis aguda adenovirus
64824,ANEMIA puerperal
O1404,preclampsia leve
5790,Celiaca parto
M349,Esclerodermia
78830,incontinencia urinaria
BG44ZZZ,Ecografia tiroides
O1494,preclampsia
C187,ADK sigma
Z86018,Historia de teratoma
2449,Hipotiroidismo anteparto
O9912,Hipertiroidismo part
E119,DM tipo 2
8521,Tumorectomía
F418,Trastorno ansioso depresivo
K5730,Diverticulosis
N801,ENDOMETRIOMA OVÁRICO
9929,Paracetamol
O9912,trombopenia part
D250,mioma submucoso
O99284,Quistes tiroideos parto
Z6711,A Rh NEGATIVO
O30043,gemelar bicorial /biamniótica
3E033VJ,oxitocínica
O700,desgarro I grado.
Z85048,Historia de cáncer de recto
4052,Linfadenectomia paraaórtica
O99824,SAG : POSITIVO
29900,transtorn de l'espectre autista
2189,mioma parto
C541,carcinoma de endometrio
L409,Psoriasi
Z3A31,31 sem
J309,rinitis alergica
Z886,ALERGIA A PIRAZOLONAS
10907ZC,amniotomía artificial
Z6741,O negativa
D693,pti part
7485,Displasia pulmonar
33394,Síndrome piernas inquietas
0D9QXZZ,drenatge Absces anal
I499,arritmia
5206,cordal incluido
N1330,ureterohidronefrosis
0T9B70Z,sv
8E0ZXY6,AISLAMIENTO
3829,OMA
BT4JZZZ,ecografía renovesical
4280,icc
V1272,Polipectomias colónicas de repetición
4732,sinusitis etmoidal crónica
0U5C8ZZ,Conización cervical con asa de diatermia
C786,c786
O9912,trombocitopenia parto
7835,polidipsia
O610,fracaso de induccion
O30043,bicorial-biamniótica
BW03ZZZ,Rx toraco abdominal
Z6841,IMC: 44
Z888,Alergia aines
I340,Asma parto
N390,itu 2t
Z3A40,40 +1 setmanes
2859,anemia parto
O9852,Rubéola: NO INMUNE
0CTQXZZ,Adenoidectomía
B9689,gardnerella
O700,laceraciones grado I
Z6740,GS O RH +
O925,inhibicion lactancia
42840,Disfunción sistólica y diastolica
J45909,asma PART
34690,Migrañosa
4869,Resecció de recte-sigma
V1255,historia TEP
Z992,hemodiálsis
0093,donante enmuerte
1759,Ca mama masculina
Z96643,Prótesis de cadera bilateral
B24DZZZ,Ecocardio nen
E889,metabolopatía
Z91018,alergia alimenticia
O700,Desgarro I :
0RRK00Z,Prótesis invertida de hombro izquierdo
BY49ZZZ,Eco 1T
V860,RE+
6563,anexectomía bilateral via laparoscópica
E8786,Histerectomia
K900,Celiaquia part
B181,Hepatitis B parto
4556,hemorroides posparto
O752,fiebre materna
U071,COVID part
I161,Emergencia hipertensiva
T148XXA,T14.8XXA
F418,ansiedad parto
30502,Enolismo ocasional
O2623,646.31
M459,Espondilitis anquilopoyetica
BD15ZZZ,Trànsit esofagogastroduodenal
Z6740,O Positivo
N200,LITIASI CALICILAR
0HBU0ZZ,Tumerectomia mama izquierda
683,adenoflemón
0T9B7ZZ,sondaje vesical evacuador
Z3A40,SG 40+2
3E0234Z,Anti -D
C8200,Linfoma folicular grado 1
7503,Atresia esofágica
69272,QUeilitis ACTINICA
Z3A40,40+5 SEMANAS
5119,derrame pleural
N83291,Quiste de ovario derecho
D069,CIN 3
T2020XA,quemadura 2 cara
Z6711,A Negativo
V1272,Polipos colónicos resecados
L501,Urticària idiopàtica
O9942,Taquicardia sinusal parto
BW03ZZZ,RADIOGRAFÍA DE TÓRAX
P030,podálica rn
V4577,Anexectomía
Z538,Se suspende la intervención por falta de tiempo quirúrgico
I130,HTA icc irc
J9610,Insuficiencia respiratoria crónica
N72,cervicitis
78609,dificultad respiratoria
E782,Hiperlipoproteinemia tipo IIb
Z6741,Grupo sanguíneo: 0 Rh negativo
D271,Cistoadenoma mucinoso izquierdo
C50912,Carcinoma Mama izquierda
0YU50JZ,hernia inguinal derecha malla
V4572,hemicolectomía
N871,CIN 2).
05HY33Z,venoclisis
1749,neoplasia de mama
V4577,da
O99824,Estreptococo grupo B positivo
0UBC8ZZ,conización cervix
V4365,PTR
D721,Eosinofilia
M47814,espondilosis dorsal
O3403,utero bicorne parto
605,Fimosis
7534,MF
Z952,Prótesis valvular mitral
R392,insuficiencia renal pre-renal
Z370,colestasis part
78951,ASCITIS MALIGNA
65223,podálica anteparto
I8393,Varices EEII
D65,Hiperfibrinolisis
4575,hemicolectomia izq
D252,"leiomiomas, subserosos"
Z6740,GsRh O+
0KQM0ZZ,Desgarro II grado
0UT74ZZ,DOBLE ANEXECTOMÍA LAPAROSCÓPIA
9921,Amoxicilina
D259,Utero Miomatoso parto
3E0H7GC,misoprostol rectal
Z6720,Grupo sanguíneo: B +
64421,Pretérmino
N870,cin 1
G253,mioclonus
Z6711,"A, Rh: negativo"
N946,Dismenorrea
O4292,rotura de membranas
O9972,piel parto
V4572,colectomía total
2531,Hiperprolactinemia
42732,flutter auricular
Z9049,hemicolectomia
8191,artrocentesis
O721,Sangrado Puerperio
3899,Hipocúsia
O925,cabergolina
65943,Multiparidad anteparto
K4090,HERNIA INGUINAL DERECHA
0HTV0ZZ,MASTECTOMIA BILATERAL
4701,apendicectomia laparoscópica
B246ZZZ,ecoscopia
4439,Claudicacion intermitente
R6521,xoc sèptic
G43109,Migraña con aura part
BT4JZZZ,Ecografia d'aparell urinari (renal-bufeta-pròstata
0HTT0ZZ,madden DERECHA
3E03329,azitromicina
5641,colon irritable parto
3E03329,antibioterapico
E6601,obesdidad mórbida part
2777,sd metabolic
P293,Hipertensión pulmonar rn
V1551,fx h
Y09,agresión
51883,insuficiencia respiratoria cronica
O26893,"anti D,"
O34219,CESÁREA ANTERIOR
B909,TBC secuelas
9929,tratamiento
O4292,"bolsa rota,"
Z8551,historia Ca urotelial
BW03ZZZ,radiografía de torax
66612,Sangrado postparto
4786,Edema de Reinke
0T9B70Z,sonda vesical permanente
Z91048,alergia gramíneas
Z8709,Historia de hemoptisis
V1507,Alergica al látex
R739,hiperglucemias
F17210,Fumadora PARTO
0UT94ZZ,Histerectomía total lap
0392,infiltración
6581,adhesiolisis trompa lap
F5000,anorexia nerviosa
G43009,Migraña sin aura
O700,"desgarro I,"
BT4JZZZ,ecografía renal
88600,angiomiolipoma
0T9B8ZX,Biopsia vesical
0UL70ZZ,Ligadura tubárica: Bilateral
B9562,MaRSA
1976,progresión peritoneal
Z6740,Grupo:0 Positivo
BW24ZZZ,TAC TORÁCICO
O7182,laceración periuretral
Z20822,PCR SARS-CoV-2 negativa
Z882,ALERGIA SULFAMIDAS
O4693,metrorragia 3t
BR07ZZZ,Rx Dorsal
0T9B70Z,SONDA VESICAL
O2662,Colestasis PARTO
Z6740,GSRH O positiva
83803,Carcinoma endometroide
0KQM0ZZ,desgarro II
V1309,Cólicos nefríticos de repetición
O99284,Hipotoroidismo part
A609,herpes genital parto
N390,ITU e.coli
10E0XZZ,parto
K589,Colon iritable
O4202,Rotura espontánea de membranas 1
F1020,Bebedor moderado
Z3A34,34+3 semanas
K649,HEMORROIDE
P042,Tabaquismo madre rn
74190,espina bífida
9394,broncodilatador
E039,Hipotiroidismo parto
M87052,NECROSIS DE CABEZA FEMORAL IZQUIERDA
D251,mioma parto
10908ZC,Amniorrexis artificial
E9600,pelea
8521,Tumorectomía mama izquierda
J45909,asma alérgico
9915,Nutrición parenteral
Z6740,Grupo sanguíneo: 0
1473,vitrectomia anterior
E9384,anestesia
Z6832,migraña part
Z3A40,40+3 semanas
O9962,Intolerancia Hidratos carbono parto
O9989,astigmatisme part
Z3A40,40 + 2 semanas
Z6740,Grupo sanguineo O+..
81406,adk mtx
65841,corioamnionitis parto
64891,Sgb 2
L271,rash
F419,síndrome ansioso
5589,gastroenteritis aguda
R319,Hematúria
78052,insomni
0DJ68ZZ,peg
Z950,MP
O621,npp
88100,Fibroma
Z7722,Fumador pasivo
51881,SAT
B86,Escabiosi
8604,drenaje piel
O9972,Eritema nodoso parto
Z87440,infecciones de orina de repetición
L309,dermatitis
K5641,fecaloma rectal
N189,Insuficiencia renal crónica
M79661,dolor eeii
Z91018,Alergias alimentarias
O358XX0,UMF
O700,"Desgarro perineal Iº ,"
0HQ9XZZ,Strip I grado
O99284,Nodulo tiroideo part
Z9882,ILE por trisomia 21
O693XX0,"Cordón: Sección Tardía , Características: corto"
O9962,hipotiroidismo part
0VB08ZZ,rtup
O00102,GESTACIÓN TUBÁRICA IZQUIERDA
Z944,Trasplante hepato
0WQF0ZZ,Herniorrafia umbilical
Z3A40,40 .2 semanas
S060X0A,tce
67014,endometritis puerperal
N1830,HTA irc 3
E162,Hipoglucèmia
9922,aciclovir
E1122,nefropatía diabética
64973,Acortamiento cervical
K5730,Divertículos en sigma
0TQB0ZZ,sutura vesical
D1803,hemangioma HIGADO
6171,endometrioma
O480,Parto 41
O746,punción dural posparto
Z6720,"Grupo sanguíneo: B, Rh; positivo"
V8535,IMC 35
O700,desgarro I
R238,cutis marmorata
Z6740,GS O Rh positivo
O9962,rge parto
Z3A40,40 +6 semanas
I340,IM moderada
05HY33Z,Canalización de via perifèrica
G8191,hemparesia derecha
O2203,Varices parto
B953,neumococo
79092,INR
Z936,Nefrostomía izquierda
1742,laparoscòpia robòtica
Z947,Trasplante de córnea
N952,Vagina: atrofica
F418,Sd ansioso depresivo parto
E039,hipotiroidismo PART
59654,Vejiga neurógena
G40909,epilèptica
65581,Hidronefrosis fetal parto
5589,Gea
O3443,HPV part
N920,Hipermenorrea
O76,RCTG pocotranquilizador
4660,bronquitis
0Q8P3ZZ,Hallux valgus izquierdo 3
S42411A,Fractura supracondilea de húmero derecho
D6861,síndrome antifosfolipido parto
5990,urocultivo
I872,insuficiencia venosa crónica
O4202,Amniorrexis
B030ZZZ,RM CRANEAL
B977,HPV
T22341A,Quemadura 3 axila derecha
99859,Infección de herida quirúrgica
B182,vhc
08RK3JZ,FACO+`LIO OI
65941,3003
S82401A,fractura perone derecho
O700,desgarro I grado
2859,anemización
3004,Síndrome ansioso-depresivo
O480,gestación en vías de prolongación
99623,trombocitosis
07TD0ZZ,Linfadenectomia AORTOCAVA
Z3A33,33+ 1 semanas
M810,Osteoprorosis
8879,ecografia transvaginal
I350,Estenosis Ao
M50222,protrusión discal C5-C6
Z91018,alergia alimento
80703,carcinoma epidermoide
D6859,Déficit Proteína S parto
O9852,COVID PARTO
K219,reflujo gastroesofágico
F1010,OH +
Z87891,extabaquismo
80001,neoplaisa inespecifica
1749,Neoplasia de mama
G8918,dolor qx
Z886,ALERGIAS: AINES
64973,LC anteparto
0WQNXZZ,perineorrafia
K900,celíaca parto
64841,Ansiedad parto
N281,quistes parapiélicos
H524,Presbiopia
Z228,fumadora part
51889,quiste pulmonar
O700,"Desgarro perineal I,"
BW20ZZZ,TAC abdominal
Z87440,itus repetición
72610,sdr subacromial
O2662,colestasis part
R1013,Epigastralgia
1830,neo ovario
30233N1,2CH
V011,Contacto con tuberculosis
O6014X0,covid parto
0UT70ZZ,doble salpinguectomia
BW03ZZZ,Rx de tòrax
D696,Bicitopenia
D510,anemia perniciosa
V5811,administración de quimioterapia
78829,globo vesical
3E0233Z,Maduracion pulmonar
6253,Dismenorrea
1985,oseas
0499,Encefalitis virica
I129,Enfermedad renal crónica Hipertensión arterial
O4413,placenta previa sangrado
10A07ZX,Misoprostol abort
Z9989,VMNI
Q431,Hirschsprung
64813,hipotiroidismo ANTEPARTO
4A12X9Z,pulsioximetria
M65312,Primer dedo mano izquierda en resorte
0VT04ZZ,prostatectomía radical laparoscópica
0TQB0ZZ,sutura vesica
Z6710,Grupo sanguíneo: A Rh positivo
Z91048,Alergias ambientales
S42302A,Fractura diafisaria de humero izquierdo
E038,hipotiroidismo
O42113,RPM PP 2
K047,Flemon dental
Z3A40,40+1 SG
7511,atresia duodenal
Y92410,accidente de tráfico
Z90722,doble anexectomia
T2020XA,quemaduras 2 cara
O365931,RCIU 1
O9952,Rinitis alérgica parto
V4574,RTU vesical
65411,mioma part
Z90710,htda
E9331,Citarabina
0TBB8ZZ,tumor vesical
Z3A40,40+3 sg
O43813,infarto placenta
8541,Mastectomia
O480,semana 41
Z952,prótesis mecánica aortica
Z8619,Covid historia
Z6740,GSRh: O positivo
BW03ZZZ,Rx Torax
N200,CÀLCUL RENAL
Q446,Poliquistosis hepatorrenal
R4789,Trastorno del Lenguaje
O99284,o99284
I452,Bloqueo bifascicular
Y831,y831
O9902,Anemia ferropénica parto
O99332,Tabaco 2t
9390,BiPAP
E119,DMTII
BY4CZZZ,Ecografías 2t
64663,pna gestante
8876,Ecografia
O480,gestante de 40
I951,Hipotension ortostática
D060,Adenocarcinoma in situ endocervical
Z6720,: B positiu
470,septoplastia
3E0H73Z,indometacina rectal
8E0W0CZ,Nefrectomía radical derecha
R160,hepatomegalia
I6783,Sd de encefalopatia posterior reversible
64813,Hipertiroidismo anteparto
74769,malformación vascular facial
4A10X4Z,vídeoEEG
G40119,G40.119
J22,hta icc
O328XX1,podálica 1
Z87828,Historia de quemaduras
10D00Z1,Cesarea
Z886,Alergia a Metamizol
0CJS8ZZ,laringoscòpia
O721,Sangrado posparto
M6282,Rabdomiolisis
08DJ3ZZ,FACO od
38532,Otitis Mitjana crónica colesteatomatosa
O34211,cesareas previa
K430,"Hèrnia incisional, amb obstrucció"
7454,CIV parto
K5700,K57.00
Z87440,Cistitis de repetición
Z6740,GSRh: O Positivo
Y848,extravasación de vía periférica
O9962,Colelitiasis part
H7190,Colesteatoma
D509,hta ice
99591,sepsi
M3500,Síndrome seca
7902,reduccion cerrada radio
V043,Rubéola: NO Inmune
49122,epoc bronquitis aguda
V1272,polipeptomia
O3663X0,FETO MACROSOMICO
M5127,HERNIA DISCAL L5-S1
BW03ZZZ,Rx torax
8541,mastectomia
97651,GAMMAPATÍA MONOCLONAL
G40909,epilèpsia
O411230,CORIOAMNIONITIS
6226,elongació cervical
64923,cirugía bariátrica anteparto
O6989X1,Una circular
3893,canalitza viaperifèrica
0HBT0ZZ,Tumorectomía Mama Derecha
O322XX1,feto 1 podalica
0HTU0ZZ,MASTECTOMIA IZQUIERDA
O99284,Hipotiroidismo qx parto
30501,Enol moderado
3829,Otitis media crónica
8875,Eco renal
I479,Taquicardia paroxística
V551,colocacion peg
BW24ZZZ,TAC toracoabdominal
B341ZZZ,doppler tsa
2189,LEIOMIOMA
10D17ZZ,legrado obstétrico
D1802,Cavernoma
36511,Glaucoma crónico
Z6741,o negtivo
B348ZZZ,eco tsa
O99354,Migrañas con aura parto
D1803,Hemangioma Hepatico
Z880,Alérgica a penicilina
85006,metástasis de carcinoma
Z91012,huevo
O99214,migraña part
30233S1,inmunoglobulinas
O99344,Depresion part
9694,Intoxicacio amb benzodiazepines
V8541,IMC 44
6210,polipo endometrio
Z6740,O POSITIVO
0UT24ZZ,anexectomía bilateral por laparoscopia
K219,reflujo gastro esofágico
O99284,Hipotiroididsmo part
R5082,febre qx
25000,Diabtes Mellitus
O7022,Desgarro IIIB
L80,vitíligo parto
E785,Dislipermia
V142,Alergia a sulfamidas
3E0333Z,dexketoprofeno
3E0234Z,anti-D .
Z6710,: A Rh +
2449,Hipotiroisdismo
D509,ANEMIA NORMOCÍTICA HIPOCROMICA
Z881,ALERGIAS: (Ac. Clavulánico
8684,relajacion cicactriz
0UT24ZZ,DOBLE ANEXECTOMÍA lap
65923,Fiebre en gestante
V442,ileostomia
K831,COLESTASIS part
F509,TCA
Z3A15,15 semanas
3004,ansioso-depresivo
V4365,Prótesis rodilla izquierda
I50810,hta icc
V4365,protesis rodilla izquierda
Q211,CIA
V146,Alergia: ibuprofeno
64901,FUMADORA part
O00102,GEU tubarico izdo
O09213,historia part prematuro
K200,esofagitis eosinofilica
O99892,enf part
8878,Eco OBS
H5210,miopía
B030ZZZ,RM cerebral
5859,Insuficiència renal cronica
0HBT0ZZ,tumerectomía mama der
BW03ZZZ,Radiografia de torax
M542,Cervicàlgia
I8391,VARICES ESENCIALES MID
0UT97ZZ,HISTERECTOMIA VIA VAGINAL
81305,Fractura de cabeza de radio
20400,Leucemia limfoblastica aguda
K589,Colón irritable parto
0SBD4ZZ,MENISCECTOMIA izquierda
F419,Ansiedad part
G510,PARÁLISIS FACIAL PERIFÉRICA DERECHA
0UT54ZZ,Anexectomía derecha laparoscopica
64901,Fumadora parto
3E03329,antibioticoterpia
E9331,quimio
Z923,Radioterapia
F329,trastorno depresivo
47411,Hipertrofia amigdales
E559,Déficit de vitamina D
O99344,ansioso part
K029,policaries
2468,Tiroides
30233K1,plasma fresco congelado
57490,colelitiasis y coledocolitiasis
F5000,anorexia nerviosa parto
V140,alergia a Amoxicilina
D6851,Factor V Leyden part
S72092A,FRACTURA SUBCAPITAL IZQUIERDA
O4403,Placenta previa
O9962,gastritis crónicas parto
Z6740,O Rh: +
BW00ZZZ,Rx Tórax y abdomen
K831,colestasis
Z6741,o NEG
V0251,SGB
8521,tumorectomia derecha
3E0H7GC,Cytotec rectales
Z7902,antiagregantes
Z1501,BRCA1
Z87718,V13.62
O480,SG: 40
51884,Insuficiència respiratòria cronica aguda
6961,psoriasis
4131,biopsia de médula ósea
I130,hta icc irc 3
F1490,Consumo esporádico de cocaína
2564,Ovario poliquistico
I951,mareos ortostáticos
O339,DESPROPORCION
F329,Síndrome depresivo
75329,Hidronefrosis congenita
41041,IAM inferior
Z6711,Grupo sanguíneo materno: A Rh negativo
F319,Trastorno bipolar tipo I
E869,Deplección de volumen
7530,Monorreno de nacimiento
O9862,Chagas part
D250,Mioma uterino submucoso
64931,plaquetopenia parto
O480,GVP
0D758ZZ,Dilatación esofago
BT4JZZZ,ecografia renal
F32A,síndrome depresivo
64421,parto pretérmino
F418,síndrome ansioso-depresivo part
51884,Insuficiència respiratòria crònica aguditzada
64813,Hipotiroidismo anteparto
O4202,Rotura espontanea de membranas 1
3427,biopsia diafragma
282,amigdalectomía
4263,BIRIHH
81703,Hepatocarcinoma
0T9380Z,doble j BILATERAL
0H9U0ZZ,Drenaje mama izquierda
O9902,anèmia ferropènica parto
O770,", color: teñido"
3323,Broncoscopia flexible
27739,amiloidosis
