Code,D_P,processed_Description,processed_Literal
F418,D,otros trastornos de ansiedad especificados,sdr. ansioso-depresivo
F418,D,otros trastornos de ansiedad especificados,ansioso - depresivo
F418,D,otros trastornos de ansiedad especificados,trastorno ansioso-depresivo parto
F418,D,otros trastornos de ansiedad especificados,sindrome ansioso depresivo
F418,D,otros trastornos de ansiedad especificados,sdme ansioso-depresivo parto
F418,D,otros trastornos de ansiedad especificados,ansiedad-depresion
F418,D,otros trastornos de ansiedad especificados,sindrome ansioso/depresivo parto
F418,D,otros trastornos de ansiedad especificados,ansioso depresivo
F418,D,otros trastornos de ansiedad especificados,sindrome ansioso depresivo
F418,D,otros trastornos de ansiedad especificados,trastorn ansios-depressiu
F418,D,otros trastornos de ansiedad especificados,ansiedad-depresion
F418,D,otros trastornos de ansiedad especificados,ansiso depresivo
F418,D,otros trastornos de ansiedad especificados,sindrome ansioso-depresivo
F418,D,otros trastornos de ansiedad especificados,ansioso-depresiva
F418,D,otros trastornos de ansiedad especificados,trastorno ansioso-depresivo
F419,D,"trastorno de ansiedad, no especificado",ansioso parto
F419,D,"trastorno de ansiedad, no especificado",ansiedad parto
F419,D,"trastorno de ansiedad, no especificado",sindrome ansioso parto
F419,D,"trastorno de ansiedad, no especificado",ansiedad parto
F419,D,"trastorno de ansiedad, no especificado",mioma parto
F419,D,"trastorno de ansiedad, no especificado",ansiedad
F419,D,"trastorno de ansiedad, no especificado",sindrome ansioso
F419,D,"trastorno de ansiedad, no especificado",ansiedad part
F419,D,"trastorno de ansiedad, no especificado",ansioso
F419,D,"trastorno de ansiedad, no especificado",sd. ansioso
F419,D,"trastorno de ansiedad, no especificado",sindrome de ansiedad
F419,D,"trastorno de ansiedad, no especificado",ansiedad parto
F419,D,"trastorno de ansiedad, no especificado",ansietat
F419,D,"trastorno de ansiedad, no especificado",ansiedad
F419,D,"trastorno de ansiedad, no especificado",bulimia nerviosa parto
F419,D,"trastorno de ansiedad, no especificado",ansioso part
F419,D,"trastorno de ansiedad, no especificado",sindrome ansioso
F419,D,"trastorno de ansiedad, no especificado",ansietat
F419,D,"trastorno de ansiedad, no especificado",sindrome ansioso
F419,D,"trastorno de ansiedad, no especificado",ansiedad part
F419,D,"trastorno de ansiedad, no especificado",ansiedad
F419,D,"trastorno de ansiedad, no especificado",sindrome ansioso parto
F429,D,"trastorno obsesivo-compulsivo, no especificado",ansiedad part
F429,D,"trastorno obsesivo-compulsivo, no especificado",toc parto
F429,D,"trastorno obsesivo-compulsivo, no especificado",trastorno obsesivo-compulsivo
F429,D,"trastorno obsesivo-compulsivo, no especificado",toc
F429,D,"trastorno obsesivo-compulsivo, no especificado",toc part
F4312,D,"trastorno por estres postraumatico, cronico",estress postraumatico
F4320,D,"trastorno adaptativo, no especificado",reaccion adaptativa
F4320,D,"trastorno adaptativo, no especificado",trastorno adaptativo parto
F4320,D,"trastorno adaptativo, no especificado",rasgo talasemico part
F4320,D,"trastorno adaptativo, no especificado",tr. adaptativo part
F4320,D,"trastorno adaptativo, no especificado",t adaptativo
F4320,D,"trastorno adaptativo, no especificado",trastorno adaptivo
F4320,D,"trastorno adaptativo, no especificado",trastorno adaptativo
F4321,D,trastorno adaptativo con estado de animo depresivo,tr adaptativo depresiva
F4321,D,trastorno adaptativo con estado de animo depresivo,tr adaptativo con sintomatologia depresiva
F4321,D,trastorno adaptativo con estado de animo depresivo,trastorno adaptativo con sintomas depresivos
F4322,D,trastorno adaptativo con ansiedad,trastorno adaptativo con sintomatologia ansiosa
F4323,D,"trastorno adaptativo mixto, con ansiedad y depresion",trastorno adaptativo mixto
F4323,D,"trastorno adaptativo mixto, con ansiedad y depresion",t. adaptativo mixto
F4323,D,"trastorno adaptativo mixto, con ansiedad y depresion",trastorno adaptativo mixto
F4323,D,"trastorno adaptativo mixto, con ansiedad y depresion",transtorno adaptativo mixto
F4325,D,trastorno adaptativo con alteracion mixta de emociones y conducta,trastorno mixto adaptativo
F439,D,"reaccion a estres grave, no especificada",estres
F439,D,"reaccion a estres grave, no especificada",stres
F447,D,trastorno de conversion con sintomas de presentacion mixtos,f44.7
F458,D,otros trastornos somatomorfos,bruxismo
F5000,D,"anorexia nerviosa, no especificada",anorexia nerviosa
F5000,D,"anorexia nerviosa, no especificada",anorexia nerviosa parto
F5000,D,"anorexia nerviosa, no especificada",anorexia nerviosa
F502,D,bulimia nerviosa,bulimia
F502,D,bulimia nerviosa,bulimia nerviosa parto
F502,D,bulimia nerviosa,bulimia nerviosa parto
F509,D,"trastorno de la conducta alimentaria, no especificado",trastorno de la conducta alimentaria
F509,D,"trastorno de la conducta alimentaria, no especificado",tca
F603,D,trastorno limite de personalidad,agresividad
F603,D,trastorno limite de personalidad,trastorno limite personalidad
F604,D,trastorno de personalidad histrionica,trastorno histrionico de personalidad
F605,D,trastorno de personalidad obsesivo-compulsivo,rasgos obsesivos de la personalidad
F6089,D,otros tipos de trastornos especificos de personalidad,trastorno de personalidad cluster b
F609,D,"trastorno de personalidad, no especificado",trastorno de personalidad
F609,D,"trastorno de personalidad, no especificado",trastorno de la personalidad
F640,D,transexualismo,transexualismo
F640,D,transexualismo,disforia de genero
F70,D,discapacidad intelectual leve,f70
F70,D,discapacidad intelectual leve,discapacidad intelectual lleu
F70,D,discapacidad intelectual leve,discapacidad intelectual leve
F79,D,discapacidad intelectual no especificada,discapacidad intelectual
F79,D,discapacidad intelectual no especificada,discapacidad intelectual
F809,D,"trastorno del desarrollo del habla y del lenguaje, no especificado",retraso en el lenguaje
F840,D,trastorno autista,tea
F840,D,trastorno autista,autismo
F840,D,trastorno autista,autismo
F88,D,otros trastornos del desarrollo psicologico,retraso del neurodesarrollo
F909,D,"trastorno por deficit de atencion con hiperactividad, tipo no especificado",tda
F909,D,"trastorno por deficit de atencion con hiperactividad, tipo no especificado",tdah
F913,D,trastorno negativista desafiante,trastorno negativista desafiante
F918,D,otros trastornos de conducta,trastorno de conducta
F919,D,"trastorno de conducta, no especificado",alteracio del comportament
F981,D,encopresis no debida a sustancia ni afeccion fisiologica conocida,encopresis
F99,D,"trastorno mental, no especificado de otro modo",psiquiatrica
F99,D,"trastorno mental, no especificado de otro modo",patologia psiquiatrica
G031,D,meningitis cronica,meningitis cronica
G042,D,"meningoencefalitis y meningomielitis bacterianas, no clasificadas bajo otro concepto",meningitis bacteriana
G20,D,enfermedad de parkinson,sindrome parkinsoniano
G20,D,enfermedad de parkinson,parkinsonismo
G20,D,enfermedad de parkinson,parkinson
G20,D,enfermedad de parkinson,enfermedad de parkinson
G20,D,enfermedad de parkinson,parkinson
G248,D,otras distonias,distonia cervical
G249,D,"distonia, no especificada",distonia
G250,D,temblor esencial,temblor esencial
G250,D,temblor esencial,temblor esencial
G250,D,temblor esencial,temblor esencial
G253,D,mioclonia,mioclonias
G253,D,mioclonia,mioclonias
G253,D,mioclonia,mioclonus
G253,D,mioclonia,mioclonies
G2581,D,sindrome de piernas inquietas,sindrome de piernas inquietas
G2581,D,sindrome de piernas inquietas,piernas inquietas
G2581,D,sindrome de piernas inquietas,sindrome de piernas inquietas
G309,D,"enfermedad de alzheimer, no especificada",alzeimer
G309,D,"enfermedad de alzheimer, no especificada",demencia alzheimer
G309,D,"enfermedad de alzheimer, no especificada",enfermedad de alzheimer
G309,D,"enfermedad de alzheimer, no especificada",alzheimer
G3183,D,trastorno neurocognitivo por cuerpos de lewy,demencia parkinson
G3183,D,trastorno neurocognitivo por cuerpos de lewy,demencia por cuerpos de lewy
G3184,D,deterioro cognitivo leve de etiologia incierta o desconocida,deterioro cognitivo leve
G3184,D,deterioro cognitivo leve de etiologia incierta o desconocida,deteriorament cognitiu lleu
G3184,D,deterioro cognitivo leve de etiologia incierta o desconocida,deterioro cognitivo leve
G319,D,"enfermedad degenerativa del sistema nervioso, no especificada",atrofia cerebelosa
G35,D,esclerosis multiple,esclerosis multiple parto
G35,D,esclerosis multiple,esclerosis multiple part
G35,D,esclerosis multiple,esclerosis multiple
G35,D,esclerosis multiple,emrr
G35,D,esclerosis multiple,esclerosis multiple parto
G35,D,esclerosis multiple,esclerosis multiple
G35,D,esclerosis multiple,esclerosis multiple
G35,D,esclerosis multiple,esclerosis multiple part
G35,D,esclerosis multiple,e.m
G35,D,esclerosis multiple,intolerancia hidratos de carbono parto
G35,D,esclerosis multiple,esclerosis multiple parto
G35,D,esclerosis multiple,hipotiroidismo part
G35,D,esclerosis multiple,esclerosis multiple parto
G35,D,esclerosis multiple,esclerosis multiple
G40109,D,"epilepsia (focal) (parcial) sintomatica relacionada con la localizacion y sindromes epilepticos con crisis parciales simples, no intratable, sin estado de mal epileptico",epilepsia focal
G40109,D,"epilepsia (focal) (parcial) sintomatica relacionada con la localizacion y sindromes epilepticos con crisis parciales simples, no intratable, sin estado de mal epileptico",epilepsia focal
G40119,D,"epilepsia (focal) (parcial) sintomatica relacionada con la localizacion y sindromes epilepticos con crisis parciales simples, intratable, sin estado de mal epileptico",g40.119
G40209,D,"epilepsia (focal) (parcial) sintomatica relacionada con la localizacion y sindromes epilepticos con crisis parciales complejas, no intratable, sin estado de mal epileptico",epilepsa temporal
G40301,D,"epilepsia y sindromes epilepticos generalizados idiopaticos, no intratables, con estado de mal epileptico",g40.301
G40309,D,"epilepsia y sindromes epilepticos generalizados idiopaticos, no intratables, sin estado de mal epileptico",g40.309
G40311,D,"epilepsia y sindromes epilepticos generalizados idiopaticos, intratables, con estado de mal epileptico",g40.311
G40319,D,"epilepsia y sindromes epilepticos generalizados idiopaticos, intratables, sin estado de mal epileptico",g40.319
G40409,D,"epilepsia y otros sindromes epilepticos generalizados, no intratables, sin estado de mal epileptico",epilepsia generalizada parto
G40409,D,"epilepsia y otros sindromes epilepticos generalizados, no intratables, sin estado de mal epileptico",epilepsia convulsiva
G40409,D,"epilepsia y otros sindromes epilepticos generalizados, no intratables, sin estado de mal epileptico",sindrome de dravet
G40409,D,"epilepsia y otros sindromes epilepticos generalizados, no intratables, sin estado de mal epileptico",sindrome de dravet
G40409,D,"epilepsia y otros sindromes epilepticos generalizados, no intratables, sin estado de mal epileptico",crisis tonico-clonica
G40411,D,"epilepsia y otros sindromes epilepticos generalizados, intratables, con estado de mal epileptico",g40.411
G40822,D,"espasmos epilepticos, no intratables, sin estado de mal epileptico",sindrome de west
G40822,D,"espasmos epilepticos, no intratables, sin estado de mal epileptico",sindrome de west
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",crisis epilepticas
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epileptica
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia parto
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilpesia part
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",g40.909
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia refractaria
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia part
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",crisis epileptica
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia parto
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",crisis epilepticas
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepticas
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",epilepsia part
G40909,D,"epilepsia, no especificada, no intratable, sin estado de mal epileptico",crisis comiciales
G40A09,D,"sindrome epileptico con ausencias, no intratable, sin estado de mal epileptico",ausencia epileptica
G40B09,D,"epilepsia mioclonica juvenil, no intratable, sin estado de mal epileptico",epilepsia mioclonica juvenil
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migrana sin aura part
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migrana sin aura
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migrana sin aura
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migranas sin aura
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migranas sin aura part
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migranas sin aura parto
G43009,D,"migrana sin aura, no intratable, sin estatus migranoso",migranas sin aura parto
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migranas con aura parto
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migrana con aura part
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migranas con aura parto
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migranas con aura part
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migrana con aura parto
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migranas con aura
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migrana con aura parto
G43109,D,"migrana con aura, no intratable, sin estatus migranoso",migrana con aura
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",cefalea migranosa
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana cronica
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",sinusitis parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranya
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",hipotiroidismo part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",ansiedad parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",g43.909
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranosas
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",hpv parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana 3t
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migrana part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",tabaco parto
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas part
G43909,D,"migrana, no especificada, no intratable, sin estatus migranoso",migranas
G44009,D,"sindrome de cefalea en racimos, no especificado, no intratable",cefalea en racimo
G441,D,"cefalea vascular, no clasificada bajo otro concepto",cefalea vascular
G44209,D,"cefalea tensional, no especificada, no intratable",cefalea tensional
G44209,D,"cefalea tensional, no especificada, no intratable",cefalea tensional
G44219,D,"cefalea tensional episodica, no intratable",cefalea tensional episodica
G44229,D,"cefalea tensional cronica, no intratable",cefalea tensional cronica
G453,D,amaurosis fugaz,amaurosis fugax
G4700,D,"insomnio, no especificado",insomnio
G4700,D,"insomnio, no especificado",insomni
G4700,D,"insomnio, no especificado",insomnio
G4700,D,"insomnio, no especificado",insomni
G4730,D,"apnea del sueno, no especificada",apnea del son
G4730,D,"apnea del sueno, no especificada",sindrome de apnea-hipoapnea del sueno
G4730,D,"apnea del sueno, no especificada",apnea del son no especificada
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sahos
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome apnea obstructiva sueno
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome apnea hipopnea sueno grave
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome apnea hipopnea sueno
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),saohs
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome de apnea obstructiva del sueno
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome apnea obstructiva sueno
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome de apnea-hipopnea del sueno
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome de apnea obstructiva
G4733,D,apnea obstructiva del sueno (del adulto) (pediatrica),sindrome apnea obstructiva sueno
G4735,D,sindrome de hipoventilacion alveolar central congenita,g47.35
G4739,D,otros tipos de apnea del sueno,sindrome apnea hipopnea sueno
G47419,D,narcolepsia sin cataplejia,narcolepsia
G479,D,"trastornos del sueno, no especificados",trastorno del sueno
G500,D,neuralgia del trigemino,neuralgia de trigemin
G500,D,neuralgia del trigemino,neuralgia trigemino parto
G500,D,neuralgia del trigemino,neuralgia del trigemin
G500,D,neuralgia del trigemino,neuralgia trigeminal
G500,D,neuralgia del trigemino,neuralgia del trigemino
G510,D,paralisis de bell,paralisis facial derecha
G510,D,paralisis de bell,paralisis facial izquierda periferica
G510,D,paralisis de bell,paralisis facial
G510,D,paralisis de bell,paralisis facial
G510,D,paralisis de bell,paralisis facial periferica derecha
G510,D,paralisis de bell,paralisis de bell
G510,D,paralisis de bell,paralisis de bell
G5600,D,"sindrome del tunel carpiano, extremidad superior no especificada",s. tunel carpiano
G5600,D,"sindrome del tunel carpiano, extremidad superior no especificada",tunel carpiano
G5600,D,"sindrome del tunel carpiano, extremidad superior no especificada",sindrome del tunel carpiano
G5600,D,"sindrome del tunel carpiano, extremidad superior no especificada",stc
G5600,D,"sindrome del tunel carpiano, extremidad superior no especificada",sindrome del tunel carpiano
G5601,D,"sindrome del tunel carpiano, extremidad superior derecha",stc derecho
G5603,D,"sindrome del tunel carpiano, ambas extremidades superiores",sindrome de tunel carpiano bilateral
G5603,D,"sindrome del tunel carpiano, ambas extremidades superiores",sindrome del tunel carpiano bilateral
G5603,D,"sindrome del tunel carpiano, ambas extremidades superiores",tunel carpiano bilateral
G5621,D,"lesion de nervio cubital, extremidad superior derecha",neuropatia cubital derecha
G5702,D,"lesion de nervio ciatico, extremidad inferior izquierda",sd. piramidal izquierdo
G5710,D,"meralgia parestesica, extremidad inferior no especificada",meralgia parestesica
G5760,D,"lesion de nervio plantar, extremidad inferior no especificada",neurinoma de morton
G5762,D,"lesion de nervio plantar, extremidad inferior izquierda",neuroma de morton pie izq
G600,D,neuropatia hereditaria motora y sensorial,356.2
G600,D,neuropatia hereditaria motora y sensorial,charcot marie tooth
G600,D,neuropatia hereditaria motora y sensorial,neuropatia sensitivo-motora
G610,D,sindrome de guillain-barre,guillen barre
G6281,D,polineuropatia del paciente critico,polineuropatia del paciente critico
G629,D,"polineuropatia, no especificada",polineuropatia
G7000,D,miastenia gravis sin exacerbacion (aguda),miastenia gravis
G7000,D,miastenia gravis sin exacerbacion (aguda),miastenia gravis
G7111,D,distrofia muscular miotonica,steinert
G713,D,"miopatia mitocondrial, no clasificada bajo otro concepto",miopatia mitocondrial
G800,D,paralisis cerebral espastica tetraplejica,tetraparesia espastica-distonica
G801,D,paralisis cerebral espastica diplejica,diplejia espastica
G809,D,"paralisis cerebral, no especificada",paralisi cerebral no especificada
G8191,D,hemiplejia no especificada que afecta a lado derecho dominante,hemparesia derecha
G8191,D,hemiplejia no especificada que afecta a lado derecho dominante,hemiparesia derecha
G8194,D,hemiplejia no especificada que afecta a lado izquierdo no dominante,hemiparesia izquierda
G8194,D,hemiplejia no especificada que afecta a lado izquierdo no dominante,hemiparesia izquierda
G8194,D,hemiplejia no especificada que afecta a lado izquierdo no dominante,hemiplejia izquierda
G8220,D,"paraplejia, no especificada",paraplejia
G8220,D,"paraplejia, no especificada",paraplejia
G8250,D,"tetraplejia, no especificada",tetraparesia
G8324,D,monoplejia de extremidad superior que afecta a lado izquierdo no dominante,paresia esi
G8911,D,dolor agudo debido a traumatismo,dolor agudo traumatico
G8918,D,otros tipos de dolor agudo posprocedimiento,dolor qx
G8929,D,otro dolor cronico,dolor cronico
G8929,D,otro dolor cronico,dolor cronic
G8929,D,otro dolor cronico,dolr cronico
G8929,D,otro dolor cronico,dolor cronica
G911,D,hidrocefalia obstructiva,hidrocefalia obstructiva
G912,D,hidrocefalia normotensiva (idiopatica),hidrocefalia cronica del adulto
G930,D,quistes cerebrales,quiste aracnoidea
G931,D,"lesion cerebral anoxica, no clasificada bajo otro concepto",hipoxico cerebral
G9349,D,otros tipos de encefalopatia,encefalopatia hipoxica
G9349,D,otros tipos de encefalopatia,leucoencefalopatia
G935,D,compresion del cerebro,g935
G9389,D,otros trastornos especificados del cerebro,encefalomalacia
G950,D,siringomielia y siringobulbia,siringomielia
G9609,D,otra fuga de liquido cefalorraquideo espinal,fistula de lcr
G9609,D,otra fuga de liquido cefalorraquideo espinal,fistula de lcr postquirurgica
G971,D,otra reaccion a puncion espinal y lumbar,cefalea postpuncion
G9741,D,puncion o desgarro accidental de duramadre durante un procedimiento,puncion dural posparto
G9741,D,puncion o desgarro accidental de duramadre durante un procedimiento,puncion dural posparto
G9741,D,puncion o desgarro accidental de duramadre durante un procedimiento,hipotiroidismo part
H01009,D,"blefaritis no especificada, ojo no especificado, parpado no especificado",blefaritis
H02403,D,"ptosis no especificada de parpado, bilateral",ptosis bilateral
H02849,D,"edema de parpado, ojo no especificado, parpado no especificado",edema palpebral
H04121,D,"sindrome de ojo seco, lado derecho",sindrome de ojo seco
H04129,D,"sindrome de ojo seco, glandula lacrimal no especificada",ojo seco
H04129,D,"sindrome de ojo seco, glandula lacrimal no especificada",ojo seco
H04321,D,"dacriocistitis aguda, lado derecho",h04.321
H04419,D,dacriocistitis cronica de via lacrimal no especificada,dacriocistitis cronica
H04439,D,mucocele lacrimal cronico de via lacrimal no especificada,dacriocistocele
H1013,D,"conjuntivitis atopica aguda, bilateral",rinoconjuntivitis alergica estacional
H1045,D,otros tipos de conjuntivitis alergica cronica,rinoconjuntivitis alergica
H1045,D,otros tipos de conjuntivitis alergica cronica,rinoconjuntivitis alergica
H1045,D,otros tipos de conjuntivitis alergica cronica,conjuntivitis alergica
H1045,D,otros tipos de conjuntivitis alergica cronica,rinoconjuntivitis alergica
H1045,D,otros tipos de conjuntivitis alergica cronica,rinoconjuntivitis alergica
H1045,D,otros tipos de conjuntivitis alergica cronica,conjuntivitis alergica
H109,D,conjuntivitis no especificada,rinoconjuntivitis intermitente
H16001,D,"ulcera corneal no especificada, ojo derecho",ulcera corneal od
H18551,D,"distrofia corneal macular, ojo derecho","distrofia corneal macular, ull dret"
H209,D,iridociclitis no especificada,uveitis
H209,D,iridociclitis no especificada,uveitis
H209,D,iridociclitis no especificada,uveitis anterior
H2513,D,"catarata nuclear relacionada con la edad, bilateral",h25.13
H2589,D,otros tipos de catarata relacionada con edad,catarata madura en o.i.
H259,D,"catarata senil, no especificada",h25.9
H269,D,catarata no especificada,catarata
H269,D,catarata no especificada,catarata od
H269,D,catarata no especificada,catarata od
H269,D,catarata no especificada,cataratas
H269,D,catarata no especificada,catarata ao
H269,D,catarata no especificada,catarata
H2702,D,"afaquia, ojo izquierdo",pseudofaquia oi
H2703,D,"afaquia, bilateral",pseudofaquia ao
H33002,D,"desprendimiento de retina no especificado con rotura retiniana, ojo izquierdo",h33.002
H33031,D,"desprendimiento de retina con desgarro retiniano gigante, ojo derecho",h33.031
H35039,D,"retinopatia hipertensiva, ojo no especificado",retinopatia hipertensiva
H35039,D,"retinopatia hipertensiva, ojo no especificado",retinopatia hipertensiva leve
H35039,D,"retinopatia hipertensiva, ojo no especificado",retinopatia hipertensiva
H3530,D,degeneracion macular no especificada,degeneracion macular
H3530,D,degeneracion macular no especificada,degeneracion macular asociada a la edad
H35372,D,"arruga o gliosis de macula, ojo izquierdo",mer oi
H3552,D,distrofia retiniana pigmentaria,retinosis pigmentaria
H40151,D,"fase residual de glaucoma de angulo abierto, ojo derecho",h40.151
H409,D,glaucoma no especificado,glaucoma
H409,D,glaucoma no especificado,glaucoma
H409,D,glaucoma no especificado,glaucoma od
H409,D,glaucoma no especificado,glaucoma
H409,D,glaucoma no especificado,glaucoma cronico
H4389,D,otros trastornos del cuerpo vitreo,desprendimiento vitrio posterior
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna parto
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna parto
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna parto
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna
H4420,D,"miopia degenerativa, ojo no especificado",miopia magna
H469,D,neuritis optica no especificada,neuritis optica
H469,D,neuritis optica no especificada,neuritis optica
H4710,D,papiledema no especificado,papiledema bilateral
H4711,D,papiledema asociado con aumento de presion intracraneal,h47.11
H4920,D,"paralisis del sexto nervio craneal [abducens], ojo no especificado",h49.20
H4920,D,"paralisis del sexto nervio craneal [abducens], ojo no especificado",neuropatia vi par
H509,D,estrabismo no especificado,estrabismo
H5200,D,"hipermetropia, ojo no especificado",hipermetropia
H5210,D,"miopia, ojo no especificado",miopia part
H5210,D,"miopia, ojo no especificado",miopia
H5210,D,"miopia, ojo no especificado",miopia parto
H5210,D,"miopia, ojo no especificado",miopia parto
H5210,D,"miopia, ojo no especificado",miopia parto
H5210,D,"miopia, ojo no especificado",miopia part
H5210,D,"miopia, ojo no especificado",miopia
H5210,D,"miopia, ojo no especificado",miopia
H52209,D,"astigmatismo no especificado, ojo no especificado",astigmatismo
H52209,D,"astigmatismo no especificado, ojo no especificado",astigmatisme part
H524,D,presbicia,presbiopia
H524,D,presbicia,presbicia
H53001,D,"ambliopia no especificada, ojo derecho",ambliopia od
H53002,D,"ambliopia no especificada, ojo izquierdo",ambliopia oi.
H53002,D,"ambliopia no especificada, ojo izquierdo",ambliopia oi
H53002,D,"ambliopia no especificada, ojo izquierdo",ambliopia oi
H532,D,diplopia,diplopia binocular
H532,D,diplopia,diplopia
H532,D,diplopia,diplopia
H5340,D,defectos de campo visual no especificados,deficit del camp visual
H53452,D,"otro defecto localizado de campo visual, ojo izquierdo",hemianopsia esquerra
H538,D,otros trastornos visuales,vision borrosa
H547,D,perdida de vision no especificada,ceguera
H547,D,perdida de vision no especificada,disminucion de la agudeza visual
H5501,D,nistagmo congenito,nistagmus congenito
H60311,D,"otitis externa difusa, oido derecho",h60.311
H61031,D,condritis del oido externo derecho,h61.031
H65191,D,"otros tipos de otitis media no supurativa aguda, oido derecho",h65.191
H6523,D,"otitis media serosa cronica, bilateral",otitis serosa cronica bilateral
H66001,D,"otitis media supurativa aguda sin rotura espontanea de timpano, oido derecho",h66.001
H663X3,D,"otros tipos de otitis media supurativa cronica, bilateral",otitis media cronica bilateral
H6690,D,"otitis media, no especificada, oido no especificado",otitis media aguda
H6690,D,"otitis media, no especificada, oido no especificado",otitis media cronica
H6690,D,"otitis media, no especificada, oido no especificado",oma
H6692,D,"otitis media, no especificada, oido izquierdo",otitis media cronica izquierda
H7190,D,"colesteatoma no especificado, oido no especificado",colesteatoma
H7191,D,"colesteatoma no especificado, oido derecho",colesteatoma derecho
H8090,D,"otoesclerosis no especificada, oido no especificado",otoesclerosis
H8090,D,"otoesclerosis no especificada, oido no especificado",otoesclerosis
H8109,D,"enfermedad de meniere, oido no especificado",meniere
H8109,D,"enfermedad de meniere, oido no especificado",meniere
H8109,D,"enfermedad de meniere, oido no especificado",sindrome de meniere
H8110,D,"vertigo paroxistico benigno, oido no especificado",vertigos paroxistico benigno
H8110,D,"vertigo paroxistico benigno, oido no especificado",vertigo paroxistico benigno
