Code,D_P,Description,Literal
G40909,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico",Crisis epilépticas
G40909,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico",EPILÉPTICAS
G40909,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico",Epilepsia part
G40909,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico",Crisis comiciales
G40A09,D,"Síndrome epiléptico con ausencias, no intratable, sin estado de mal epiléptico",ausencia epileptica
G40B09,D,"Epilepsia mioclónica juvenil, no intratable, sin estado de mal epiléptico",Epilepsia mioclónica juvenil
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",Migraña sin aura part
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",migraña sin aura
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",Migraña sin aura
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",Migrañas sin aura
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",Migrañas sin aura part
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",Migrañas sin aura parto
G43009,D,"Migraña sin aura, no intratable, sin estatus migrañoso",migrañas sin aura parto
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",Migrañas con aura parto
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",Migraña con aura part
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",migrañas con aura parto
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",Migrañas con aura PART
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",migraña con aura parto
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",Migrañas con aura
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",Migraña con aura parto
G43109,D,"Migraña con aura, no intratable, sin estatus migrañoso",migraña con aura
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",cefalea migrañosa
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migraña crónica
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migrañas PARTO
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Sinusitis parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migrañas part
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migraña part
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migrañas PART
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migraña
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migraña parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migranya
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migrañas parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",hipotiroidismo part
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Ansiedad parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migraña PARTO
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",G43.909
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migrañosas
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migrañas PART
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",HPV parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",MIGRAÑA
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",migraña 3t
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",MIGRAÑA part
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",tabaco parto
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migrañas part
G43909,D,"Migraña, no especificada, no intratable, sin estatus migrañoso",Migrañas
G44009,D,"Síndrome de cefalea en racimos, no especificado, no intratable",Cefalea en racimo
G441,D,"Cefalea vascular, no clasificada bajo otro concepto",cefalea vascular
G44209,D,"Cefalea tensional, no especificada, no intratable",Cefalea tensional
G44209,D,"Cefalea tensional, no especificada, no intratable",cefalea tensional
G44219,D,"Cefalea tensional episódica, no intratable",cefalea tensional episodica
G44229,D,"Cefalea tensional crónica, no intratable",CEFALEA TENSIONAL CRÓNICA
G453,D,Amaurosis fugaz,Amaurosis fugax
G4700,D,"Insomnio, no especificado",insomnio
G4700,D,"Insomnio, no especificado",Insomni
G4700,D,"Insomnio, no especificado",Insomnio
G4700,D,"Insomnio, no especificado",INSOMNI
G4730,D,"Apnea del sueño, no especificada",Apnea del son
G4730,D,"Apnea del sueño, no especificada",Síndrome de apnea-hipoapnea del sueño
G4730,D,"Apnea del sueño, no especificada",Apnea del son no especificada
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),SAHos
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),saos
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),SAHS grave
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),SAHS
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),SAOHS
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),Síndrome de apnea obstructiva del sueño
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),SAos
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),Síndrome de apnea-hipopnea del sueño
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),Síndrome de apnea obstructiva
G4733,D,Apnea obstructiva del sueño (del adulto) (pediátrica),Saos
G4735,D,Síndrome de hipoventilación alveolar central congénita,G47.35
G4739,D,Otros tipos de apnea del sueño,SAHS
G47419,D,Narcolepsia sin cataplejia,Narcolepsia
G479,D,"Trastornos del sueño, no especificados",Trastorno del sueño
G500,D,Neuralgia del trigémino,Neuràlgia de trigemin
G500,D,Neuralgia del trigémino,Neuralgia trigemino parto
G500,D,Neuralgia del trigémino,NEURÀLGIA DEL TRIGEMIN
G500,D,Neuralgia del trigémino,Neuralgia trigeminal
G500,D,Neuralgia del trigémino,neuralgia del trigémino
G510,D,Parálisis de Bell,Parálisis facial derecha
G510,D,Parálisis de Bell,Parálisis facial izquierda periférica
G510,D,Parálisis de Bell,Paralisis facial
G510,D,Parálisis de Bell,Paralisis Facial
G510,D,Parálisis de Bell,PARÁLISIS FACIAL PERIFÉRICA DERECHA
G510,D,Parálisis de Bell,Parálisis de Bell
G510,D,Parálisis de Bell,parálisis de Bell
G5600,D,"Síndrome del túnel carpiano, extremidad superior no especificada",S. tunel carpiano
G5600,D,"Síndrome del túnel carpiano, extremidad superior no especificada",tunel carpiano
G5600,D,"Síndrome del túnel carpiano, extremidad superior no especificada",sindrome del tunel carpiano
G5600,D,"Síndrome del túnel carpiano, extremidad superior no especificada",stc
G5600,D,"Síndrome del túnel carpiano, extremidad superior no especificada",Síndrome del túnel carpiano
G5601,D,"Síndrome del túnel carpiano, extremidad superior derecha",STC derecho
G5603,D,"Síndrome del túnel carpiano, ambas extremidades superiores",Síndrome de tunel carpiano bilateral
G5603,D,"Síndrome del túnel carpiano, ambas extremidades superiores",Sd del túnel carpiano bilateral
G5603,D,"Síndrome del túnel carpiano, ambas extremidades superiores",tunel carpiano bilateral
G5621,D,"Lesión de nervio cubital, extremidad superior derecha",neuropatia cubital derecha
G5702,D,"Lesión de nervio ciático, extremidad inferior izquierda",Sd. piramidal izquierdo
G5710,D,"Meralgia parestésica, extremidad inferior no especificada",Meralgia parestésica
G5760,D,"Lesión de nervio plantar, extremidad inferior no especificada",Neurinoma de Morton
G5762,D,"Lesión de nervio plantar, extremidad inferior izquierda",Neuroma de Morton pie izq
G600,D,Neuropatía hereditaria motora y sensorial,356.2
G600,D,Neuropatía hereditaria motora y sensorial,Charcot Marie Tooth
G600,D,Neuropatía hereditaria motora y sensorial,Neuropatía sensitivo-motora
G610,D,Síndrome de Guillain-Barré,Guillen Barre
G6281,D,Polineuropatía del paciente crítico,Polineuropatía del paciente crítico
G629,D,"Polineuropatía, no especificada",POLINEUROPATIA
G7000,D,Miastenia gravis sin exacerbación (aguda),miastenia gravis
G7000,D,Miastenia gravis sin exacerbación (aguda),Miastenia gravis
G7111,D,Distrofia muscular miotónica,Steinert
G713,D,"Miopatía mitocondrial, no clasificada bajo otro concepto",Miopatía mitocondrial
G800,D,Parálisis cerebral espástica tetrapléjica,Tetraparesia espástica-distónica
G801,D,Parálisis cerebral espástica dipléjica,diplejia espastica
G809,D,"Parálisis cerebral, no especificada",Paràlisi cerebral no especificada
G8191,D,Hemiplejia no especificada que afecta a lado derecho dominante,hemparesia derecha
G8191,D,Hemiplejia no especificada que afecta a lado derecho dominante,hemiparesia derecha
G8194,D,Hemiplejia no especificada que afecta a lado izquierdo no dominante,hemiparesia izquierda
G8194,D,Hemiplejia no especificada que afecta a lado izquierdo no dominante,Hemiparesia izquierda
G8194,D,Hemiplejia no especificada que afecta a lado izquierdo no dominante,hemiplejía izquierda
G8220,D,"Paraplejia, no especificada",Paraplejia
G8220,D,"Paraplejia, no especificada",paraplejia
G8250,D,"Tetraplejia, no especificada",Tetraparesia
G8324,D,Monoplejia de extremidad superior que afecta a lado izquierdo no dominante,paresia ESI
G8911,D,Dolor agudo debido a traumatismo,dolor agudo traumatico
G8918,D,Otros tipos de dolor agudo posprocedimiento,dolor qx
G8929,D,Otro dolor crónico,Dolor crónico
G8929,D,Otro dolor crónico,dolor crònic
G8929,D,Otro dolor crónico,dolr cronico
G8929,D,Otro dolor crónico,dolor crónica
G911,D,Hidrocefalia obstructiva,hidrocefalia obstructiva
G912,D,Hidrocefalia normotensiva (idiopática),Hidrocefalia crónica del adulto
G930,D,Quistes cerebrales,quiste aracnoidea
G931,D,"Lesión cerebral anóxica, no clasificada bajo otro concepto",hipóxico cerebral
G9349,D,Otros tipos de encefalopatía,Encefalopatia hipòxica
G9349,D,Otros tipos de encefalopatía,Leucoencefalopatía
G935,D,Compresión del cerebro,g935
G9389,D,Otros trastornos especificados del cerebro,encefalomalacia
G950,D,Siringomielia y siringobulbia,Siringomielia
G9609,D,Otra fuga de líquido cefalorraquídeo espinal,Fistula de LCR
G9609,D,Otra fuga de líquido cefalorraquídeo espinal,Fístula de LCR postquirúrgica
G971,D,Otra reacción a punción espinal y lumbar,Cefalea postpunción
G9741,D,Punción o desgarro accidental de duramadre durante un procedimiento,punción dural posparto
G9741,D,Punción o desgarro accidental de duramadre durante un procedimiento,Punción dural posparto
G9741,D,Punción o desgarro accidental de duramadre durante un procedimiento,hipotiroidismo part
H01009,D,"Blefaritis no especificada, ojo no especificado, párpado no especificado",Blefaritis
H02403,D,"Ptosis no especificada de párpado, bilateral",Ptosis bilateral
H02849,D,"Edema de párpado, ojo no especificado, párpado no especificado",edema palpebral
H04121,D,"Síndrome de ojo seco, lado derecho",Síndrome de ojo seco
H04129,D,"Síndrome de ojo seco, glándula lacrimal no especificada",ojo seco
H04129,D,"Síndrome de ojo seco, glándula lacrimal no especificada",Ojo seco
H04321,D,"Dacriocistitis aguda, lado derecho",H04.321
H04419,D,Dacriocistitis crónica de vía lacrimal no especificada,Dacriocistitis crónica
H04439,D,Mucocele lacrimal crónico de vía lacrimal no especificada,dacriocistocele
H1013,D,"Conjuntivitis atópica aguda, bilateral",Rinoconjuntivitis alergica estacional
H1045,D,Otros tipos de conjuntivitis alérgica crónica,Rinoconjuntivitis alergica
H1045,D,Otros tipos de conjuntivitis alérgica crónica,Rinoconjuntivitis alèrgica
H1045,D,Otros tipos de conjuntivitis alérgica crónica,Conjuntivitis alérgica
H1045,D,Otros tipos de conjuntivitis alérgica crónica,RINOCONJUNTIVITIS ALÉRGICA
H1045,D,Otros tipos de conjuntivitis alérgica crónica,Rinoconjuntivitis alérgica
H1045,D,Otros tipos de conjuntivitis alérgica crónica,conjuntivitis alergica
H109,D,Conjuntivitis no especificada,Rinoconjuntivitis intermitente
H16001,D,"Úlcera corneal no especificada, ojo derecho",Úlcera corneal OD
H18551,D,"Distrofia corneal macular, ojo derecho","Distròfia corneal macular, ull dret"
H209,D,Iridociclitis no especificada,Uveitis
H209,D,Iridociclitis no especificada,UVEÏTIS
H209,D,Iridociclitis no especificada,uveítis anterior
H2513,D,"Catarata nuclear relacionada con la edad, bilateral",H25.13
H2589,D,Otros tipos de catarata relacionada con edad,CATARATA MADURA EN O.I.
H259,D,"Catarata senil, no especificada",H25.9
H269,D,Catarata no especificada,catarata
H269,D,Catarata no especificada,catarata od
H269,D,Catarata no especificada,catarata OD
H269,D,Catarata no especificada,Cataratas
H269,D,Catarata no especificada,Catarata AO
H269,D,Catarata no especificada,Catarata
H2702,D,"Afaquia, ojo izquierdo",Pseudofaquia OI
H2703,D,"Afaquia, bilateral",Pseudofaquia AO
H33002,D,"Desprendimiento de retina no especificado con rotura retiniana, ojo izquierdo",H33.002
H33031,D,"Desprendimiento de retina con desgarro retiniano gigante, ojo derecho",H33.031
H35039,D,"Retinopatía hipertensiva, ojo no especificado",Retinopatía hipertensiva
H35039,D,"Retinopatía hipertensiva, ojo no especificado",Retinopatía hipertensiva leve
H35039,D,"Retinopatía hipertensiva, ojo no especificado",Retinopatia hipertensiva
H3530,D,Degeneración macular no especificada,Degeneración macular
H3530,D,Degeneración macular no especificada,Degeneración macular asociada a la edad
H35372,D,"Arruga o gliosis de mácula, ojo izquierdo",mer oi
H3552,D,Distrofia retiniana pigmentaria,Retinosis pigmentaria
H40151,D,"Fase residual de glaucoma de ángulo abierto, ojo derecho",H40.151
H409,D,Glaucoma no especificado,GLAUCOMa
H409,D,Glaucoma no especificado,Glaucoma
H409,D,Glaucoma no especificado,Glaucoma OD
H409,D,Glaucoma no especificado,glaucoma
H409,D,Glaucoma no especificado,Glaucoma crónico
H4389,D,Otros trastornos del cuerpo vítreo,Desprendimiento vitrio posterior
H4420,D,"Miopía degenerativa, ojo no especificado",MIOPIA MAGNA PARTO
H4420,D,"Miopía degenerativa, ojo no especificado",Miopia magna parto
H4420,D,"Miopía degenerativa, ojo no especificado",MIOPIA MAGNA
H4420,D,"Miopía degenerativa, ojo no especificado",Miopía magna parto
H4420,D,"Miopía degenerativa, ojo no especificado",Miopía magna
H4420,D,"Miopía degenerativa, ojo no especificado",Miopia magna
H469,D,Neuritis óptica no especificada,Neuritis óptica
H469,D,Neuritis óptica no especificada,Neuritis optica
H4710,D,Papiledema no especificado,papiledema bilateral
H4711,D,Papiledema asociado con aumento de presión intracraneal,H47.11
H4920,D,"Parálisis del sexto nervio craneal [abducens], ojo no especificado",H49.20
H4920,D,"Parálisis del sexto nervio craneal [abducens], ojo no especificado",Neuropatía VI Par
H509,D,Estrabismo no especificado,Estrabismo
H5200,D,"Hipermetropía, ojo no especificado",hipermetropía
H5210,D,"Miopía, ojo no especificado",miopia part
H5210,D,"Miopía, ojo no especificado",miopía
H5210,D,"Miopía, ojo no especificado",Miopia parto
H5210,D,"Miopía, ojo no especificado",miopía parto
H5210,D,"Miopía, ojo no especificado",Miopía parto
H5210,D,"Miopía, ojo no especificado",Miopía part
H5210,D,"Miopía, ojo no especificado",MIOPÍA
H5210,D,"Miopía, ojo no especificado",Miopia
H52209,D,"Astigmatismo no especificado, ojo no especificado",Astigmatismo
H52209,D,"Astigmatismo no especificado, ojo no especificado",astigmatisme part
H524,D,Presbicia,Presbiopia
H524,D,Presbicia,Presbicia
H53001,D,"Ambliopía no especificada, ojo derecho",Ambliopia OD
H53002,D,"Ambliopía no especificada, ojo izquierdo",Ambliopia OI.
H53002,D,"Ambliopía no especificada, ojo izquierdo",ambliopia oi
H53002,D,"Ambliopía no especificada, ojo izquierdo",Ambliopia OI
H532,D,Diplopía,diplopia binocular
H532,D,Diplopía,Diplopia
H532,D,Diplopía,diplopia
H5340,D,Defectos de campo visual no especificados,DÈFICIT DEL CAMP VISUAL
H53452,D,"Otro defecto localizado de campo visual, ojo izquierdo",Hemianòpsia esquerra
H538,D,Otros trastornos visuales,visión borrosa
H547,D,Pérdida de visión no especificada,Ceguera
H547,D,Pérdida de visión no especificada,Disminución de la agudeza visual
H5501,D,Nistagmo congénito,nistagmus congénito
H60311,D,"Otitis externa difusa, oído derecho",H60.311
H61031,D,Condritis del oído externo derecho,H61.031
H65191,D,"Otros tipos de otitis media no supurativa aguda, oído derecho",H65.191
H6523,D,"Otitis media serosa crónica, bilateral",Otitis serosa crónica bilateral
H66001,D,"Otitis media supurativa aguda sin rotura espontánea de tímpano, oído derecho",H66.001
H663X3,D,"Otros tipos de otitis media supurativa crónica, bilateral",Otitis media crónica bilateral
H6690,D,"Otitis media, no especificada, oído no especificado",Otitis media aguda
H6690,D,"Otitis media, no especificada, oído no especificado",OTITIS MEDIA CRÓNICA
H6690,D,"Otitis media, no especificada, oído no especificado",OMA
H6692,D,"Otitis media, no especificada, oído izquierdo",otitis media cronica IZQUIERDA
H7190,D,"Colesteatoma no especificado, oído no especificado",Colesteatoma
H7191,D,"Colesteatoma no especificado, oído derecho",COLESTEATOMA DERECHO
H8090,D,"Otoesclerosis no especificada, oído no especificado",otoesclerosis
H8090,D,"Otoesclerosis no especificada, oído no especificado",Otoesclerosis
H8109,D,"Enfermedad de Ménière, oído no especificado",Meniere
H8109,D,"Enfermedad de Ménière, oído no especificado",meniere
H8109,D,"Enfermedad de Ménière, oído no especificado",Síndrome de Meniere
H8110,D,"Vértigo paroxístico benigno, oído no especificado",Vértigos paroxístico benigno
H8110,D,"Vértigo paroxístico benigno, oído no especificado",Vertigo paroxistico benigno
H8110,D,"Vértigo paroxístico benigno, oído no especificado",Vértigos posicionales
H8113,D,"Vértigo paroxístico benigno, bilateral",Vértigo paroxístico
H8113,D,"Vértigo paroxístico benigno, bilateral",Vértigo periférico paroxístico benigno
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vértigos periféricos
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vertigo periférico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",vertiginoso periférico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vértigo periférico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",VÉRTIGO PERIFÉRICO
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vertigo Periferico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vertigo periferico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Síndrome vertiginoso periférico
H81399,D,"Otros tipos de vértigo periférico, oído no especificado",Vértigo periférico.
H900,D,"Hipoacusia conductiva, bilateral",hipoacusia de transmisión
H903,D,"Hipoacusia neurosensorial, bilateral",Hipoacusia bilateral congénita
H903,D,"Hipoacusia neurosensorial, bilateral",hipoacusia neurosensorial bilateral
H903,D,"Hipoacusia neurosensorial, bilateral",Hipoacudia neurosensorial bilateral
H903,D,"Hipoacusia neurosensorial, bilateral",Hipoacusia neurosensorial bilateral
H905,D,Pérdida auditiva neurosensorial no especificada,hipoacusia neurosensorial
H905,D,Pérdida auditiva neurosensorial no especificada,sordera neurosensorial
H905,D,Pérdida auditiva neurosensorial no especificada,Sordera congénita
H9110,D,"Presbiacusia, oído no especificado",Presbiacusia
H9113,D,"Presbiacusia, bilateral",Presbiacusia bilateral
H9190,D,"Pérdida de audición no especificada, oído no especificado",Hipoacúsia
H9190,D,"Pérdida de audición no especificada, oído no especificado",hipoacusia
H9190,D,"Pérdida de audición no especificada, oído no especificado",Hipoacusia parto
H9190,D,"Pérdida de audición no especificada, oído no especificado",Hipoacusia
H9190,D,"Pérdida de audición no especificada, oído no especificado",Hipoacusia severa
H9191,D,"Pérdida de audición no especificada, oído derecho",Hipoacusia derecha
H9191,D,"Pérdida de audición no especificada, oído derecho",hipoacusia derecha
H9192,D,"Pérdida de audición no especificada, oído izquierdo",Hipoacusia OI
H9192,D,"Pérdida de audición no especificada, oído izquierdo",Hipoacusia IZQUIERDA
H9193,D,"Pérdida de audición no especificada, bilateral",HIPOACUSIA BILATERAL
H9193,D,"Pérdida de audición no especificada, bilateral",Sordera bilateral
H9193,D,"Pérdida de audición no especificada, bilateral",Hipoacusia bilateral
H9193,D,"Pérdida de audición no especificada, bilateral",sordera
H9193,D,"Pérdida de audición no especificada, bilateral",Sordera
H9313,D,"Acúfenos [tinnitus], bilaterales",Acúfeno bilateral
H9319,D,"Acúfenos [tinnitus], oído no especificado",Acufenos
H9319,D,"Acúfenos [tinnitus], oído no especificado",tinnitus
I050,D,Estenosis mitral reumática,Estenosis mitral reumatica
I051,D,Insuficiencia mitral reumática,insuficiencia mitral reumatica
I051,D,Insuficiencia mitral reumática,Insuficiència mitral reumàtica
I071,D,Insuficiencia tricuspídea reumática,IT
I071,D,Insuficiencia tricuspídea reumática,it
I071,D,Insuficiencia tricuspídea reumática,insuficiencia tricuspídea
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,Valvulopatía mitroaórtica
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,ESCLEROSIS VALVULAR MITROAÓRTICA
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,estenosis aórtica severa e insuficiencia mitral
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,Insuficiencia válvula aórtica
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,valvulopatía mitroaortica
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,Insuficiencia mitral y aórtica
I080,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica,ia + im
I081,D,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,Insuficiencia mitral y tricuspídea
I081,D,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,IM it
I081,D,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,im it
I083,D,"Trastornos reumáticos combinados de las válvulas mitral, aórtica y tricúspide",im ia it
I10,D,Hipertensión esencial (primaria),Hipertensió arterial
I10,D,Hipertensión esencial (primaria),HIPERTENSION ESENCIAL
I10,D,Hipertensión esencial (primaria),HTA crónica
I10,D,Hipertensión esencial (primaria),HIPERTENSIÓ
I10,D,Hipertensión esencial (primaria),Hipetensión arterial
I10,D,Hipertensión esencial (primaria),Hipertensió
I10,D,Hipertensión esencial (primaria),HTA
I10,D,Hipertensión esencial (primaria),Hipertension
I10,D,Hipertensión esencial (primaria),Hipertensión
I10,D,Hipertensión esencial (primaria),HIPERTENSIÓN ESENCIAL
I10,D,Hipertensión esencial (primaria),hipertensión
I10,D,Hipertensión esencial (primaria),Hipertensión arterial esencial
I10,D,Hipertensión esencial (primaria),hipertension arterial
I10,D,Hipertensión esencial (primaria),hipertension
I10,D,Hipertensión esencial (primaria),Hipertension arterial
I10,D,Hipertensión esencial (primaria),hta
I10,D,Hipertensión esencial (primaria),hiptertension
I110,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,hta icc
I110,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,HTA insuficiencia cardiaca
I110,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,Hipertensión Insuficiencia cardíaca
I110,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,Hipertension Insuficiencia cardiaca
I110,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,HTA icc
I119,D,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,CARDIOPATIA HIPERTENSIVA
I119,D,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,Cardiopatía hipertensiva
I119,D,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,Cardiopatia hipertensiva
I119,D,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,cardiopatia hta
I119,D,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca,Cardiopatia Hipertensiva
I120,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal,hta IRC 5
I120,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal,hta irc 5
I120,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal,HTA ERC grado 5
I120,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal,HTA irc 5
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensión Enfermedad renal crónica
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA irc
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,hta irc 2
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensión Enfermedad renal crónica estadío 4
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Enfermedad renal crónica Hipertensión arterial
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,shock septico
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA Enfermedad renal crónica estadio IIIA
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA irc 3
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HIPERTENSIÓ INSUFICIÈNCIA RENAL CRÒNICA
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensió Malaltia renal crònica
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,"Hipertensión arterial Enfermedad renal crónica, estadio 3"
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA irc 2
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensión Insufiencia renal crónica estadio 3
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,hta + irc
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA ERC 3
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,hta irc 3
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensión arterial Insuficiencia renal crónica
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Hipertensión Insuficiencia renal crónica
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,hta IRC
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,Enfermedad renal crónica - Hipertensión arterial
I129,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada,HTA irc 4
I130,D,Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada,HTA IRC icc
I130,D,Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada,HTA ERC icc
